phase,method,layer_bucket,fused_type,blocks,input_tokens,output_tokens,output_rel_mse,output_mse,output_count,backend
decode,dense_nvfp4,0,down_proj,16,2048,64,0.015034614764388438,1.7522090287158676e-05,33554432,canonical_phase_wrapper
decode,dense_nvfp4,0,gate_up_proj,16,2048,64,0.00813579174275945,0.0004844125728271008,234881024,canonical_phase_wrapper
decode,dense_nvfp4,0,o_proj,16,2048,64,0.01833592449306724,1.0663755183548673e-05,33554432,canonical_phase_wrapper
decode,dense_nvfp4,0,qkv_proj,16,2048,64,0.001699088626794176,0.003418526119309225,50331648,canonical_phase_wrapper
decode,dense_nvfp4,1,down_proj,16,2048,64,0.016591822161972594,6.35312364352103e-05,33554432,canonical_phase_wrapper
decode,dense_nvfp4,1,gate_up_proj,16,2048,64,0.006585165213876963,0.0009889223219943233,234881024,canonical_phase_wrapper
decode,dense_nvfp4,1,o_proj,16,2048,64,0.035129470339853745,7.710371019697959e-05,33554432,canonical_phase_wrapper
decode,dense_nvfp4,1,qkv_proj,16,2048,64,0.0031049201404398908,0.006110637117747804,50331648,canonical_phase_wrapper
decode,dense_nvfp4,2,down_proj,16,2048,64,0.016147310418487548,0.0001331263605948152,33554432,canonical_phase_wrapper
decode,dense_nvfp4,2,gate_up_proj,16,2048,64,0.008843849908106603,0.0016752242855935556,234881024,canonical_phase_wrapper
decode,dense_nvfp4,2,o_proj,16,2048,64,0.02269716473706789,4.4251475145529184e-05,33554432,canonical_phase_wrapper
decode,dense_nvfp4,2,qkv_proj,16,2048,64,0.0037173540265502862,0.007338359035808632,50331648,canonical_phase_wrapper
decode,dense_nvfp4,3,down_proj,16,2048,64,0.008851354173105968,0.0011814151597491218,33554432,canonical_phase_wrapper
decode,dense_nvfp4,3,gate_up_proj,16,2048,64,0.00646666921784327,0.002915255673412633,234881024,canonical_phase_wrapper
decode,dense_nvfp4,3,o_proj,16,2048,64,0.013027117753024894,0.00026432712178348083,33554432,canonical_phase_wrapper
decode,dense_nvfp4,3,qkv_proj,16,2048,64,0.003411005864667523,0.007212765448457503,50331648,canonical_phase_wrapper
