phase,method,layer_bucket,fused_type,blocks,input_tokens,output_tokens,output_rel_mse,output_mse,output_count,backend
decode,sparse_nvfp4,0,down_proj,16,2048,64,0.1352703985467977,0.0001576508725804615,33554432,canonical_phase_wrapper
decode,sparse_nvfp4,0,gate_up_proj,16,2048,64,0.07388078083415188,0.004398930092845278,234881024,canonical_phase_wrapper
decode,sparse_nvfp4,0,o_proj,16,2048,64,0.09174232110034113,5.3355240012820104e-05,33554432,canonical_phase_wrapper
decode,sparse_nvfp4,0,qkv_proj,16,2048,64,0.00912988672659721,0.01836911609495928,50331648,canonical_phase_wrapper
decode,sparse_nvfp4,1,down_proj,16,2048,64,0.14218211049446236,0.0005444251505650755,33554432,canonical_phase_wrapper
decode,sparse_nvfp4,1,gate_up_proj,16,2048,64,0.060771697782221135,0.009126344826654531,234881024,canonical_phase_wrapper
decode,sparse_nvfp4,1,o_proj,16,2048,64,0.15309481561001997,0.0003360192505397208,33554432,canonical_phase_wrapper
decode,sparse_nvfp4,1,qkv_proj,16,2048,64,0.019649528252911136,0.03867124797337359,50331648,canonical_phase_wrapper
decode,sparse_nvfp4,2,down_proj,16,2048,64,0.15064573008122387,0.001241997414126672,33554432,canonical_phase_wrapper
decode,sparse_nvfp4,2,gate_up_proj,16,2048,64,0.08337258551915082,0.015792644771863706,234881024,canonical_phase_wrapper
decode,sparse_nvfp4,2,o_proj,16,2048,64,0.14258471420967972,0.0002779899608640335,33554432,canonical_phase_wrapper
decode,sparse_nvfp4,2,qkv_proj,16,2048,64,0.02144919256896762,0.042342449757294766,50331648,canonical_phase_wrapper
decode,sparse_nvfp4,3,down_proj,16,2048,64,0.038094443569453025,0.005084572626401496,33554432,canonical_phase_wrapper
decode,sparse_nvfp4,3,gate_up_proj,16,2048,64,0.06472299083422423,0.029177936874995276,234881024,canonical_phase_wrapper
decode,sparse_nvfp4,3,o_proj,16,2048,64,0.0725799332749599,0.001472685303497201,33554432,canonical_phase_wrapper
decode,sparse_nvfp4,3,qkv_proj,16,2048,64,0.021970185408158056,0.0464572036798927,50331648,canonical_phase_wrapper
