phase,method,layer_bucket,fused_type,blocks,input_tokens,output_tokens,output_rel_mse,output_mse,output_count,backend
prefill,dense_nvfp4,0,down_proj,16,2048,64,0.0035760020544549805,1.981029719999583e-05,1073741824,canonical_phase_wrapper
prefill,dense_nvfp4,0,gate_up_proj,16,2048,64,0.008123582852101333,0.0004829995886146727,7516192768,canonical_phase_wrapper
prefill,dense_nvfp4,0,o_proj,16,2048,64,0.018533444697212093,1.034457751547535e-05,1073741824,canonical_phase_wrapper
prefill,dense_nvfp4,0,qkv_proj,16,2048,64,0.0017383419339156,0.003377437319504869,1610612736,canonical_phase_wrapper
prefill,dense_nvfp4,1,down_proj,16,2048,64,0.0166922295418534,6.44595934602421e-05,1073741824,canonical_phase_wrapper
prefill,dense_nvfp4,1,gate_up_proj,16,2048,64,0.006532603141113519,0.0009918135375690845,7516192768,canonical_phase_wrapper
prefill,dense_nvfp4,1,o_proj,16,2048,64,0.034759643819208784,7.266086748813905e-05,1073741824,canonical_phase_wrapper
prefill,dense_nvfp4,1,qkv_proj,16,2048,64,0.003218622510523816,0.005852092070957345,1610612736,canonical_phase_wrapper
prefill,dense_nvfp4,2,down_proj,16,2048,64,0.016177113668884798,0.00013886269204022028,1073741824,canonical_phase_wrapper
prefill,dense_nvfp4,2,gate_up_proj,16,2048,64,0.008668990489306852,0.0017009839037720148,7516192768,canonical_phase_wrapper
prefill,dense_nvfp4,2,o_proj,16,2048,64,0.022416534511387545,4.3697687786448114e-05,1073741824,canonical_phase_wrapper
prefill,dense_nvfp4,2,qkv_proj,16,2048,64,0.0037917220425125174,0.006948335376667576,1610612736,canonical_phase_wrapper
prefill,dense_nvfp4,3,down_proj,16,2048,64,0.00856488412858749,0.0012110885704714747,1073741824,canonical_phase_wrapper
prefill,dense_nvfp4,3,gate_up_proj,16,2048,64,0.006500418321800334,0.0029679153807852083,7516192768,canonical_phase_wrapper
prefill,dense_nvfp4,3,o_proj,16,2048,64,0.013112286445931083,0.0002495896403331699,1073741824,canonical_phase_wrapper
prefill,dense_nvfp4,3,qkv_proj,16,2048,64,0.0034546015327681793,0.006844623716763938,1610612736,canonical_phase_wrapper
