phase,method,layer_bucket,fused_type,blocks,input_tokens,output_tokens,output_rel_mse,output_mse,output_count,backend
prefill,w4a16_ours,0,down_proj,16,2048,64,0.0020884875179472844,1.1569780385745077e-05,1073741824,canonical_phase_wrapper
prefill,w4a16_ours,0,gate_up_proj,16,2048,64,0.0040860968300166015,0.00024294490791427443,7516192768,canonical_phase_wrapper
prefill,w4a16_ours,0,o_proj,16,2048,64,0.009491642123051421,5.297829372530316e-06,1073741824,canonical_phase_wrapper
prefill,w4a16_ours,0,qkv_proj,16,2048,64,0.0008752969440774821,0.0017006208657216841,1610612736,canonical_phase_wrapper
prefill,w4a16_ours,1,down_proj,16,2048,64,0.00867479833785296,3.349905851735002e-05,1073741824,canonical_phase_wrapper
prefill,w4a16_ours,1,gate_up_proj,16,2048,64,0.0032824125183831114,0.0004983528160664719,7516192768,canonical_phase_wrapper
prefill,w4a16_ours,1,o_proj,16,2048,64,0.017833970908848806,3.727977777145952e-05,1073741824,canonical_phase_wrapper
prefill,w4a16_ours,1,qkv_proj,16,2048,64,0.0015875015467356336,0.0028863916734280792,1610612736,canonical_phase_wrapper
prefill,w4a16_ours,2,down_proj,16,2048,64,0.008617203278924804,7.396919312441241e-05,1073741824,canonical_phase_wrapper
prefill,w4a16_ours,2,gate_up_proj,16,2048,64,0.004370775690253187,0.0008576107108768026,7516192768,canonical_phase_wrapper
prefill,w4a16_ours,2,o_proj,16,2048,64,0.011342119321973055,2.210976851557689e-05,1073741824,canonical_phase_wrapper
prefill,w4a16_ours,2,qkv_proj,16,2048,64,0.0019009965471310964,0.0034835785459108592,1610612736,canonical_phase_wrapper
prefill,w4a16_ours,3,down_proj,16,2048,64,0.00473210993561727,0.0006691280548807299,1073741824,canonical_phase_wrapper
prefill,w4a16_ours,3,gate_up_proj,16,2048,64,0.0032604722199005834,0.001488643525850161,7516192768,canonical_phase_wrapper
prefill,w4a16_ours,3,o_proj,16,2048,64,0.006560677294508013,0.00012488112527364592,1073741824,canonical_phase_wrapper
prefill,w4a16_ours,3,qkv_proj,16,2048,64,0.0017340292174281783,0.003435642980700019,1610612736,canonical_phase_wrapper
