layer,module_type,method,local_rel_mse,blocks,backend
0,q_proj,sparse_nvfp4,0.0010244524085383144,16,canonical_phase_wrapper
0,k_proj,sparse_nvfp4,0.001597560625540717,16,canonical_phase_wrapper
0,v_proj,sparse_nvfp4,0.060207100180790424,16,canonical_phase_wrapper
0,o_proj,sparse_nvfp4,0.025723436782725293,16,canonical_phase_wrapper
0,gate_proj,sparse_nvfp4,0.07015015278481318,16,canonical_phase_wrapper
0,up_proj,sparse_nvfp4,0.0987741317264622,16,canonical_phase_wrapper
0,down_proj,sparse_nvfp4,0.06328303540887646,16,canonical_phase_wrapper
1,q_proj,sparse_nvfp4,0.0014296295990597824,16,canonical_phase_wrapper
1,k_proj,sparse_nvfp4,0.0014317087463437766,16,canonical_phase_wrapper
1,v_proj,sparse_nvfp4,0.07470470803336199,16,canonical_phase_wrapper
1,o_proj,sparse_nvfp4,0.06269471550075932,16,canonical_phase_wrapper
1,gate_proj,sparse_nvfp4,0.07860780311097576,16,canonical_phase_wrapper
1,up_proj,sparse_nvfp4,0.11051344583644196,16,canonical_phase_wrapper
1,down_proj,sparse_nvfp4,0.0011916731928951236,16,canonical_phase_wrapper
2,q_proj,sparse_nvfp4,0.008078348304804797,16,canonical_phase_wrapper
2,k_proj,sparse_nvfp4,0.008151709872180389,16,canonical_phase_wrapper
2,v_proj,sparse_nvfp4,0.08794426492091638,16,canonical_phase_wrapper
2,o_proj,sparse_nvfp4,0.050500545120616046,16,canonical_phase_wrapper
2,gate_proj,sparse_nvfp4,0.09813031710187292,16,canonical_phase_wrapper
2,up_proj,sparse_nvfp4,0.1419497622134415,16,canonical_phase_wrapper
2,down_proj,sparse_nvfp4,0.12858167640617946,16,canonical_phase_wrapper
3,q_proj,sparse_nvfp4,0.011893597050005684,16,canonical_phase_wrapper
3,k_proj,sparse_nvfp4,0.011383576113803109,16,canonical_phase_wrapper
3,v_proj,sparse_nvfp4,0.10553377624343889,16,canonical_phase_wrapper
3,o_proj,sparse_nvfp4,0.07593903672058216,16,canonical_phase_wrapper
3,gate_proj,sparse_nvfp4,0.08201357964123795,16,canonical_phase_wrapper
3,up_proj,sparse_nvfp4,0.13802854418502417,16,canonical_phase_wrapper
3,down_proj,sparse_nvfp4,0.13859552797720398,16,canonical_phase_wrapper
4,q_proj,sparse_nvfp4,0.009983652840675128,16,canonical_phase_wrapper
4,k_proj,sparse_nvfp4,0.009101120247252107,16,canonical_phase_wrapper
4,v_proj,sparse_nvfp4,0.10465666790202312,16,canonical_phase_wrapper
4,o_proj,sparse_nvfp4,0.0922219974930033,16,canonical_phase_wrapper
4,gate_proj,sparse_nvfp4,0.06371062808701144,16,canonical_phase_wrapper
4,up_proj,sparse_nvfp4,0.13321929208309297,16,canonical_phase_wrapper
4,down_proj,sparse_nvfp4,0.14471386076938092,16,canonical_phase_wrapper
5,q_proj,sparse_nvfp4,0.014004320968393864,16,canonical_phase_wrapper
5,k_proj,sparse_nvfp4,0.012325222100774703,16,canonical_phase_wrapper
5,v_proj,sparse_nvfp4,0.09728546236165368,16,canonical_phase_wrapper
5,o_proj,sparse_nvfp4,0.09092539511398816,16,canonical_phase_wrapper
5,gate_proj,sparse_nvfp4,0.05984897224074051,16,canonical_phase_wrapper
5,up_proj,sparse_nvfp4,0.1290601580546204,16,canonical_phase_wrapper
5,down_proj,sparse_nvfp4,0.1424890002912666,16,canonical_phase_wrapper
6,q_proj,sparse_nvfp4,0.01672834789399775,16,canonical_phase_wrapper
6,k_proj,sparse_nvfp4,0.012262274828858897,16,canonical_phase_wrapper
6,v_proj,sparse_nvfp4,0.10566769736422314,16,canonical_phase_wrapper
6,o_proj,sparse_nvfp4,0.11351598886736806,16,canonical_phase_wrapper
6,gate_proj,sparse_nvfp4,0.052240328646223494,16,canonical_phase_wrapper
6,up_proj,sparse_nvfp4,0.12344741829205941,16,canonical_phase_wrapper
6,down_proj,sparse_nvfp4,0.14164495206991387,16,canonical_phase_wrapper
7,q_proj,sparse_nvfp4,0.01601434477160531,16,canonical_phase_wrapper
7,k_proj,sparse_nvfp4,0.012168809248053655,16,canonical_phase_wrapper
7,v_proj,sparse_nvfp4,0.08807936548022051,16,canonical_phase_wrapper
7,o_proj,sparse_nvfp4,0.10666283591077227,16,canonical_phase_wrapper
7,gate_proj,sparse_nvfp4,0.05232343375017736,16,canonical_phase_wrapper
7,up_proj,sparse_nvfp4,0.11645475276345148,16,canonical_phase_wrapper
7,down_proj,sparse_nvfp4,0.14919463323413132,16,canonical_phase_wrapper
8,q_proj,sparse_nvfp4,0.02145903907239135,16,canonical_phase_wrapper
8,k_proj,sparse_nvfp4,0.015110674027809528,16,canonical_phase_wrapper
8,v_proj,sparse_nvfp4,0.1074447191234771,16,canonical_phase_wrapper
8,o_proj,sparse_nvfp4,0.1544989185532831,16,canonical_phase_wrapper
8,gate_proj,sparse_nvfp4,0.05178476371147963,16,canonical_phase_wrapper
8,up_proj,sparse_nvfp4,0.1201122147689688,16,canonical_phase_wrapper
8,down_proj,sparse_nvfp4,0.15226191027925529,16,canonical_phase_wrapper
9,q_proj,sparse_nvfp4,0.023610246148649983,16,canonical_phase_wrapper
9,k_proj,sparse_nvfp4,0.01766687330991487,16,canonical_phase_wrapper
9,v_proj,sparse_nvfp4,0.11547461353809196,16,canonical_phase_wrapper
9,o_proj,sparse_nvfp4,0.155076060177886,16,canonical_phase_wrapper
9,gate_proj,sparse_nvfp4,0.051412786083958786,16,canonical_phase_wrapper
9,up_proj,sparse_nvfp4,0.1175777734160466,16,canonical_phase_wrapper
9,down_proj,sparse_nvfp4,0.15301570649276433,16,canonical_phase_wrapper
10,q_proj,sparse_nvfp4,0.024964636386014052,16,canonical_phase_wrapper
10,k_proj,sparse_nvfp4,0.017857130407245087,16,canonical_phase_wrapper
10,v_proj,sparse_nvfp4,0.10628971146849106,16,canonical_phase_wrapper
10,o_proj,sparse_nvfp4,0.1556549158923417,16,canonical_phase_wrapper
10,gate_proj,sparse_nvfp4,0.05224233764546136,16,canonical_phase_wrapper
10,up_proj,sparse_nvfp4,0.12091491932316675,16,canonical_phase_wrapper
10,down_proj,sparse_nvfp4,0.15572496553978732,16,canonical_phase_wrapper
11,q_proj,sparse_nvfp4,0.025330438379281256,16,canonical_phase_wrapper
11,k_proj,sparse_nvfp4,0.01999687907894496,16,canonical_phase_wrapper
11,v_proj,sparse_nvfp4,0.09104345850059245,16,canonical_phase_wrapper
11,o_proj,sparse_nvfp4,0.15792895548092806,16,canonical_phase_wrapper
11,gate_proj,sparse_nvfp4,0.05080021978317225,16,canonical_phase_wrapper
11,up_proj,sparse_nvfp4,0.11999174537470071,16,canonical_phase_wrapper
11,down_proj,sparse_nvfp4,0.14988491715053556,16,canonical_phase_wrapper
12,q_proj,sparse_nvfp4,0.017926153312933738,16,canonical_phase_wrapper
12,k_proj,sparse_nvfp4,0.015126442731543824,16,canonical_phase_wrapper
12,v_proj,sparse_nvfp4,0.11529139032075818,16,canonical_phase_wrapper
12,o_proj,sparse_nvfp4,0.15575184077132165,16,canonical_phase_wrapper
12,gate_proj,sparse_nvfp4,0.04805931051525248,16,canonical_phase_wrapper
12,up_proj,sparse_nvfp4,0.11297209446438174,16,canonical_phase_wrapper
12,down_proj,sparse_nvfp4,0.1470510523347888,16,canonical_phase_wrapper
13,q_proj,sparse_nvfp4,0.028630932018014622,16,canonical_phase_wrapper
13,k_proj,sparse_nvfp4,0.020730884512264073,16,canonical_phase_wrapper
13,v_proj,sparse_nvfp4,0.11542971977597448,16,canonical_phase_wrapper
13,o_proj,sparse_nvfp4,0.1673830214778881,16,canonical_phase_wrapper
13,gate_proj,sparse_nvfp4,0.045103658035897665,16,canonical_phase_wrapper
13,up_proj,sparse_nvfp4,0.11318566465542777,16,canonical_phase_wrapper
13,down_proj,sparse_nvfp4,0.14733198454716945,16,canonical_phase_wrapper
14,q_proj,sparse_nvfp4,0.02529406226143965,16,canonical_phase_wrapper
14,k_proj,sparse_nvfp4,0.017944140802157265,16,canonical_phase_wrapper
14,v_proj,sparse_nvfp4,0.10747939143269539,16,canonical_phase_wrapper
14,o_proj,sparse_nvfp4,0.16055608547022684,16,canonical_phase_wrapper
14,gate_proj,sparse_nvfp4,0.04314003227103421,16,canonical_phase_wrapper
14,up_proj,sparse_nvfp4,0.1206775594730051,16,canonical_phase_wrapper
14,down_proj,sparse_nvfp4,0.1519980356112241,16,canonical_phase_wrapper
15,q_proj,sparse_nvfp4,0.025192375441714446,16,canonical_phase_wrapper
15,k_proj,sparse_nvfp4,0.018618864268976607,16,canonical_phase_wrapper
15,v_proj,sparse_nvfp4,0.13779126771865635,16,canonical_phase_wrapper
15,o_proj,sparse_nvfp4,0.16546333446410866,16,canonical_phase_wrapper
15,gate_proj,sparse_nvfp4,0.0414452137173374,16,canonical_phase_wrapper
15,up_proj,sparse_nvfp4,0.12220323285325525,16,canonical_phase_wrapper
15,down_proj,sparse_nvfp4,0.14638001834231473,16,canonical_phase_wrapper
16,q_proj,sparse_nvfp4,0.02363431061559817,16,canonical_phase_wrapper
16,k_proj,sparse_nvfp4,0.016213886924236,16,canonical_phase_wrapper
16,v_proj,sparse_nvfp4,0.11214737760929486,16,canonical_phase_wrapper
16,o_proj,sparse_nvfp4,0.14226445725904172,16,canonical_phase_wrapper
16,gate_proj,sparse_nvfp4,0.05022724124238486,16,canonical_phase_wrapper
16,up_proj,sparse_nvfp4,0.1307274342708461,16,canonical_phase_wrapper
16,down_proj,sparse_nvfp4,0.15009184998927005,16,canonical_phase_wrapper
17,q_proj,sparse_nvfp4,0.023654824625375548,16,canonical_phase_wrapper
17,k_proj,sparse_nvfp4,0.01897328050533222,16,canonical_phase_wrapper
17,v_proj,sparse_nvfp4,0.14540087020275755,16,canonical_phase_wrapper
17,o_proj,sparse_nvfp4,0.1343801153324376,16,canonical_phase_wrapper
17,gate_proj,sparse_nvfp4,0.05022350492678567,16,canonical_phase_wrapper
17,up_proj,sparse_nvfp4,0.12828432386020788,16,canonical_phase_wrapper
17,down_proj,sparse_nvfp4,0.14971171337692685,16,canonical_phase_wrapper
18,q_proj,sparse_nvfp4,0.027770359978010997,16,canonical_phase_wrapper
18,k_proj,sparse_nvfp4,0.019620159095751228,16,canonical_phase_wrapper
18,v_proj,sparse_nvfp4,0.11577068779063486,16,canonical_phase_wrapper
18,o_proj,sparse_nvfp4,0.1403210997321036,16,canonical_phase_wrapper
18,gate_proj,sparse_nvfp4,0.061424230754155054,16,canonical_phase_wrapper
18,up_proj,sparse_nvfp4,0.1375845174829402,16,canonical_phase_wrapper
18,down_proj,sparse_nvfp4,0.15212055734447377,16,canonical_phase_wrapper
19,q_proj,sparse_nvfp4,0.0263632486270783,16,canonical_phase_wrapper
19,k_proj,sparse_nvfp4,0.020516223345501544,16,canonical_phase_wrapper
19,v_proj,sparse_nvfp4,0.1173558713618592,16,canonical_phase_wrapper
19,o_proj,sparse_nvfp4,0.16072540324446993,16,canonical_phase_wrapper
19,gate_proj,sparse_nvfp4,0.06668142861496303,16,canonical_phase_wrapper
19,up_proj,sparse_nvfp4,0.14275054952145783,16,canonical_phase_wrapper
19,down_proj,sparse_nvfp4,0.15536061129792642,16,canonical_phase_wrapper
20,q_proj,sparse_nvfp4,0.028786734545194866,16,canonical_phase_wrapper
20,k_proj,sparse_nvfp4,0.019775025715796493,16,canonical_phase_wrapper
20,v_proj,sparse_nvfp4,0.13126032954029318,16,canonical_phase_wrapper
20,o_proj,sparse_nvfp4,0.1633942557853653,16,canonical_phase_wrapper
20,gate_proj,sparse_nvfp4,0.07323694463006415,16,canonical_phase_wrapper
20,up_proj,sparse_nvfp4,0.14687210674567747,16,canonical_phase_wrapper
20,down_proj,sparse_nvfp4,0.1594446915268215,16,canonical_phase_wrapper
21,q_proj,sparse_nvfp4,0.023218671038231893,16,canonical_phase_wrapper
21,k_proj,sparse_nvfp4,0.019696312195480823,16,canonical_phase_wrapper
21,v_proj,sparse_nvfp4,0.12535454856416983,16,canonical_phase_wrapper
21,o_proj,sparse_nvfp4,0.12409325270474743,16,canonical_phase_wrapper
