module_index,module_name,layer,module_type,prefill_method,decode_method,prefill_runtime,decode_runtime,quality_cost,latency_ms
0,model.layers.0.self_attn.qkv_proj,0,qkv_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.000874615995803696,1.453115
1,model.layers.0.self_attn.o_proj,0,o_proj,dense_bf16,dense_bf16,dense_bf16,dense_bf16,0.0,1.33423
2,model.layers.0.mlp.gate_up_proj,0,gate_up_proj,dense_nvfp4,dense_nvfp4,dense_nvfp4,dense_nvfp4,0.0014752706576405955,4.924154
3,model.layers.0.mlp.down_proj,0,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.0066494067330217415,3.307493
4,model.layers.1.self_attn.qkv_proj,1,qkv_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.001574386844042403,1.453115
5,model.layers.1.self_attn.o_proj,1,o_proj,dense_bf16,dense_bf16,dense_bf16,dense_bf16,0.0,1.33423
6,model.layers.1.mlp.gate_up_proj,1,gate_up_proj,dense_nvfp4,dense_nvfp4,dense_nvfp4,dense_nvfp4,0.0016479562869216383,4.924154
7,model.layers.1.mlp.down_proj,1,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,7.334936609259585e-05,3.307493
8,model.layers.2.self_attn.qkv_proj,2,qkv_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.0035236797562826733,1.453115
9,model.layers.2.self_attn.o_proj,2,o_proj,dense_bf16,dense_bf16,dense_bf16,dense_bf16,0.0,1.33423
10,model.layers.2.mlp.gate_up_proj,2,gate_up_proj,dense_nvfp4,dense_nvfp4,dense_nvfp4,dense_nvfp4,0.00184582766429145,4.924154
11,model.layers.2.mlp.down_proj,2,down_proj,dense_bf16,dense_bf16,dense_bf16,dense_bf16,0.0,4.666172
12,model.layers.3.self_attn.qkv_proj,3,qkv_proj,dense_bf16,dense_bf16,dense_bf16,dense_bf16,0.0,2.037634
13,model.layers.3.self_attn.o_proj,3,o_proj,dense_bf16,dense_bf16,dense_bf16,dense_bf16,0.0,1.33423
14,model.layers.3.mlp.gate_up_proj,3,gate_up_proj,dense_nvfp4,dense_nvfp4,dense_nvfp4,dense_nvfp4,0.0016533508897753825,4.924154
15,model.layers.3.mlp.down_proj,3,down_proj,dense_bf16,dense_bf16,dense_bf16,dense_bf16,0.0,4.666172
16,model.layers.4.self_attn.qkv_proj,4,qkv_proj,dense_bf16,dense_bf16,dense_bf16,dense_bf16,0.0,2.037634
17,model.layers.4.self_attn.o_proj,4,o_proj,dense_bf16,dense_bf16,dense_bf16,dense_bf16,0.0,1.33423
