family,policy,policy_json,policy_sha256,median_ms,measured_speedup,avg_nll,actual_delta_nll,speed_cv,speed_gpu_uuid,speed_measured_runs,predicted_delta_nll,raw_predicted_linear_ms,wikitext,winogrande,arc_easy,arc_challenge,mmlu
uniform,uniform_p00,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/policies/prefill_only/p00.json,a4384fd0493fd7111606a7678350800307a0bfd79246ec5d9fa0bc9f9e99af15,674.074623035267,1.0,2.459385094686584,0.0,0.0007283452744954862,305f915b-c789-ebb0-e184-56b64931412f,5,,,15.39521938220863,0.7411207576953434,0.8026094276094277,0.5332764505119454,0.6368038740920097
uniform,uniform_p01,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/policies/prefill_only/p01.json,b7fb1004a07a0105c0a857491883ccf0e73bb5905f0999839e2d20458bfe68fa,626.7462209798396,1.0755144593954398,2.5739108017274965,0.11452570704091247,0.0038501529854625093,305f915b-c789-ebb0-e184-56b64931412f,5,,,17.141330313447252,0.728492501973165,0.7735690235690236,0.514505119453925,0.5944309927360775
uniform,uniform_p02,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/policies/prefill_only/p02.json,9847d436fafcc67cf1d81daf37a91a4e05198786cacfa32af431fd4e0bdd764d,511.09115895815194,1.3188931391600536,3.341473541031017,0.882088446344433,0.0014324722574034132,305f915b-c789-ebb0-e184-56b64931412f,5,,,42.40262585257039,0.6716653512233622,0.6616161616161617,0.37457337883959047,0.3812847172767412
uniform,uniform_p03,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/policies/prefill_only/p03.json,08791e3a0983782d3cd18b541f71cc8cb3cb7d3440a2cbeea4591fd1a2e2148c,563.8132740277797,1.1955635918604757,4.158779651436115,1.6993945567495308,0.004865852703293214,305f915b-c789-ebb0-e184-56b64931412f,5,,,112.60811671014599,0.5390686661404893,0.4503367003367003,0.26791808873720135,0.23144851160803304
uniform,uniform_p04,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/policies/prefill_only/p04.json,553b5e6382d4467fd9758c9efb53c7270f811676bb357d67b6f33b6318726afe,739.8223339114338,0.9111304054196914,2.512763904971371,0.05337881028478675,0.0002975207229550498,305f915b-c789-ebb0-e184-56b64931412f,5,,,16.06605532063888,0.7348066298342542,0.79503367003367,0.5307167235494881,0.612590799031477
ours,point_000,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_000.json,44d534db48284df50e815c992c84d2da211e4c97d05ef6bdd1737beaae365039,674.4787879288197,0.9994007744931552,2.459385094686584,0.0,0.0019600688186669378,305f915b-c789-ebb0-e184-56b64931412f,5,0.0,564.9398400000005,,,,,
ours,point_001,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_001.json,b8e4d79dec2d4c668d9dde101ac9ba5f07dceaf2393eb255c62e07ebb3ebf622,665.07408907637,1.01353312977716,2.467623384226135,0.00823828953955097,0.0011656527256350047,305f915b-c789-ebb0-e184-56b64931412f,5,0.001911250148385117,555.5554800000003,,,,,
ours,point_002,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_002.json,f7ba75f2bf877192c83c72c2655ea6efbfe91f4f5cd1c605216418833bfebb91,660.6236109510064,1.0203610828636553,2.4678516447501444,0.00846655006356034,0.0019391396911065779,305f915b-c789-ebb0-e184-56b64931412f,5,0.002866875222577676,550.8633000000003,,,,,
ours,point_003,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_003.json,88582aa5f105597101c1e9ae904675c52c8b32cbad0c3461a68d0fe4c3a85279,655.6113730184734,1.028161881835252,2.468842420372082,0.009457325685497953,0.0010051235228466496,305f915b-c789-ebb0-e184-56b64931412f,5,0.003822500296770234,546.1711200000003,15.540454015488699,0.7419100236779794,0.7992424242424242,0.5273037542662116,0.6346674262925509
ours,point_004,/root/workspaces/cospaq/fake/artifacts/debug/067_llama31_pro6000_prefill_only/runs/experiment/pareto/policies/point_004.json,5c28fc766e6468f4b79895795d281026fcb8bc3d2bbddf1c5b8961e9d9b55327,651.0719710495323,1.0353304289058156,2.4704412564540674,0.011056161767483363,0.0009637670959577584,305f915b-c789-ebb0-e184-56b64931412f,5,0.004778125370962793,541.4789400000003,,,,,
