model,scenario,table_role,source_label,family,actual_delta_nll,source_median_ms,median_ms,metric_1,metric_2,metric_3,metric_4,speedup,ttft_speedup,tpot_speedup,quality_mean_retention,quality_min_retention
llama2_7b_chat,prefill_only,BF16,uniform_p00,uniform,0.0,680.5386850610375,680.5386850610375,43.43,72.81,67.96,46.57,1.00,1.00,--,1.000000,1.000000
llama2_7b_chat,prefill_only,Dense NVFP4,uniform_p01,uniform,0.04210258689224888,631.5881621558219,631.5881621558219,43.17,71.13,67.80,44.94,1.08,1.08,--,0.983412,0.964985
llama2_7b_chat,prefill_only,Sparse BF16,uniform_p02,uniform,0.3508857931310385,518.7910429667681,518.7910429667681,34.73,62.16,63.46,27.87,1.31,1.31,--,0.796370,0.598318
llama2_7b_chat,prefill_only,Sparse NVFP4,uniform_p03,uniform,1.0410482008362347,570.7686410751194,570.7686410751194,24.06,37.92,53.12,23.25,1.19,1.19,--,0.588930,0.499235
llama2_7b_chat,prefill_only,W4A16 Marlin,uniform_p04,uniform,0.025813715040019503,752.1240769419819,752.1240769419819,43.09,71.93,68.19,45.78,0.90,0.90,--,0.991629,0.983028
llama2_7b_chat,prefill_only,Ours (Max speed),point_024,ours,0.7583544707592558,457.72964716888964,457.72964716888964,27.90,51.94,56.99,23.57,1.49,1.49,--,0.675102,0.506116
llama2_7b_chat,prefill_only,Ours (Balanced),point_014,ours,0.02886837255088981,546.0927770473063,546.0927770473063,43.09,71.93,68.19,44.42,1.25,1.25,--,0.984327,0.953823
llama2_7b_chat,prefill_decode,BF16,uniform_p00,uniform,0.0,1722.9634828399867,1838.0107611883432,23.63,21.58,19.37,,1.00,1.00,1.00,1.000000,1.000000
llama2_7b_chat,prefill_decode,Dense NVFP4,uniform_p01,uniform,0.04111657747834041,2147.7300790138543,2266.250706044957,23.66,21.59,17.07,,0.81,1.07,0.71,0.961045,0.881178
llama2_7b_chat,prefill_decode,Sparse BF16,uniform_p02,uniform,0.3364569518938272,1465.6129009090364,1590.1170000433922,15.34,13.52,8.16,,1.16,1.31,1.08,0.565606,0.421159
llama2_7b_chat,prefill_decode,Sparse NVFP4,uniform_p03,uniform,0.33434230669780374,2099.8367918655276,2279.667662922293,18.48,13.93,3.10,,0.81,1.18,0.68,0.529176,0.160151
llama2_7b_chat,prefill_decode,W4A16 Marlin,uniform_p04,uniform,0.020412327015291387,1392.1661130152643,1513.4488730691373,23.81,21.87,19.03,,1.21,0.90,1.52,1.001141,0.982203
llama2_7b_chat,prefill_decode,Ours (Max speed),point_018,ours,0.24026909078975378,1101.9213288091123,1271.1946230847389,20.99,13.79,2.56,,1.45,1.33,1.53,0.553253,0.132259
llama2_7b_chat,prefill_decode,Ours (Balanced),point_014,ours,0.0198393953146887,1229.6734279952943,1394.8294869624078,22.61,19.90,14.89,,1.32,1.16,1.44,0.882540,0.768553
llama31_8b_instruct,prefill_decode,BF16,uniform_p00,uniform,0.0,1609.083415940404,1669.3266700021923,10.29,7.22,10.89,,1.00,1.00,1.00,1.000000,1.000000
llama31_8b_instruct,prefill_decode,Dense NVFP4,uniform_p01,uniform,0.1023958925403643,2106.9862639997154,2186.010963981971,9.49,6.61,11.34,,0.76,1.06,0.64,0.959162,0.914633
llama31_8b_instruct,prefill_decode,Sparse BF16,uniform_p02,uniform,1.12600287880359,1409.488531993702,1472.201653989032,8.04,3.42,2.43,,1.13,1.30,1.04,0.492796,0.223457
llama31_8b_instruct,prefill_decode,Sparse NVFP4,uniform_p03,uniform,1.7469513729397268,2268.7753948848695,2313.765750033781,0.99,0.55,0.04,,0.72,1.17,0.57,0.058627,0.003284
llama31_8b_instruct,prefill_decode,W4A16 Marlin,uniform_p04,uniform,0.025582153958359832,1248.4895589295775,1317.6061329431832,9.82,6.57,12.46,,1.27,0.91,1.77,1.002070,0.909322
llama31_8b_instruct,prefill_decode,Ours (Max speed),point_020,ours,0.35593907865840047,924.5330588892102,1040.0662331376225,9.26,3.83,2.00,,1.61,1.42,1.77,0.538219,0.183982
llama31_8b_instruct,prefill_decode,Ours (Balanced),point_013,ours,0.06600874974532855,1141.2493390962481,1244.646797887981,9.96,6.87,10.31,,1.34,1.18,1.48,0.955239,0.946441
llama31_8b_instruct,prefill_only,BF16,uniform_p00,uniform,0.0,674.074623035267,674.074623035267,53.33,80.26,74.11,63.68,1.00,1.00,--,1.000000,1.000000
llama31_8b_instruct,prefill_only,Dense NVFP4,uniform_p01,uniform,0.11452570704091247,626.7462209798396,626.7462209798396,51.45,77.36,72.85,59.44,1.08,1.08,--,0.961260,0.933460
llama31_8b_instruct,prefill_only,Sparse BF16,uniform_p02,uniform,0.882088446344433,511.09115895815194,511.09115895815194,37.46,66.16,67.17,38.13,1.32,1.32,--,0.757941,0.598747
llama31_8b_instruct,prefill_only,Sparse NVFP4,uniform_p03,uniform,1.6993945567495308,563.8132740277797,563.8132740277797,26.79,45.03,53.91,23.14,1.20,1.20,--,0.538578,0.363453
llama31_8b_instruct,prefill_only,W4A16 Marlin,uniform_p04,uniform,0.05337881028478675,739.8223339114338,739.8223339114338,53.07,79.50,73.48,61.26,0.91,0.91,--,0.984805,0.961977
llama31_8b_instruct,prefill_only,Ours (Max speed),point_023,ours,1.201324550844677,408.8308250065893,408.8308250065893,34.56,61.32,61.40,29.68,1.65,1.65,--,0.676671,0.466115
llama31_8b_instruct,prefill_only,Ours (Balanced),point_015,ours,0.15214228488516568,503.7165719550103,503.7165719550103,52.73,80.22,71.82,59.97,1.34,1.34,--,0.974782,0.941736
