m,n,k,latency_ms,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,samples,tflops,latency_q25_ms,latency_q75_ms,latency_iqr_ms,flops,bytes_bf16,arithmetic_intensity
16,4096,4096,0.034888,0.034888,0.0,0.034888,0.034888,1,15.388412,0.034888,0.034888,0.0,536870912.0,33816576.0,15.875968992248062
16,4096,11008,0.069525,0.069525,0.0,0.069525,0.069525,1,20.752891,0.069525,0.069525,0.0,1442840576.0,90660864.0,15.914701364416734
16,12288,4096,0.043947,0.043947,0.0,0.043947,0.043947,1,36.648814,0.043947,0.043947,0.0,1610612736.0,101187584.0,15.917098445595855
16,22016,4096,0.1382,0.1382,0.0,0.1382,0.1382,1,20.880471,0.1382,0.1382,0.0,2885681152.0,181190656.0,15.92621394339452
16384,4096,4096,1.395469,1.395469,0.0,1.395469,1.395469,1,393.957798,1.395469,1.395469,0.0,549755813888.0,301989888.0,1820.4444444444443
16384,4096,11008,3.451197,3.451197,0.0,3.451197,3.451197,1,428.103303,3.451197,3.451197,0.0,1477468749824.0,585105408.0,2525.1326164874554
16384,12288,4096,3.919315,3.919315,0.0,3.919315,3.919315,1,420.805003,3.919315,3.919315,0.0,1649267441664.0,637534208.0,2586.9473684210525
16384,22016,4096,7.137189,7.137189,0.0,7.137189,7.137189,1,414.019801,7.137189,7.137189,0.0,2954937499648.0,1035993088.0,2852.275303643725
32768,4096,4096,2.662883,2.662883,0.0,2.662883,2.662883,1,412.902687,2.662883,2.662883,0.0,1099511627776.0,570425344.0,1927.5294117647059
32768,4096,11008,7.052429,7.052429,0.0,7.052429,7.052429,1,418.995726,7.052429,7.052429,0.0,2954937499648.0,1080033280.0,2735.9689320388347
32768,12288,4096,8.020171,8.020171,0.0,8.020171,8.020171,1,411.279861,8.020171,8.020171,0.0,3298534883328.0,1174405120.0,2808.6857142857143
32768,22016,4096,14.646435,14.646435,0.0,14.646435,14.646435,1,403.502621,14.646435,14.646435,0.0,5909874999296.0,1891631104.0,3124.221729490022
