m,n,k,latency_ms,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,samples,tflops,latency_q25_ms,latency_q75_ms,latency_iqr_ms,dense_flops,effective_work,bytes_activation,bytes_weight,bytes_scale,bytes_output,bytes_total,arithmetic_intensity
16,4096,4096,0.023414,0.023414,0.0,0.023414,0.023414,1,22.929091,0.023414,0.023414,0.0,536870912.0,536870912.0,131072.0,8388608.0,1048576.0,131072.0,9699328.0,55.351351351351354
16,4096,11008,0.029282,0.029282,0.0,0.029282,0.029282,1,49.274649,0.029282,0.029282,0.0,1442840576.0,1442840576.0,352256.0,22544384.0,2818048.0,131072.0,25845760.0,55.82503961965135
16,12288,4096,0.028598,0.028598,0.0,0.028598,0.028598,1,56.318281,0.028598,0.028598,0.0,1610612736.0,1610612736.0,131072.0,25165824.0,3145728.0,393216.0,28835840.0,55.85454545454545
16,22016,4096,0.033686,0.033686,0.0,0.033686,0.033686,1,85.663092,0.033686,0.033686,0.0,2885681152.0,2885681152.0,131072.0,45088768.0,5636096.0,704512.0,51560448.0,55.966952653320625
16384,4096,4096,1.581341,1.581341,0.0,1.581341,1.581341,1,347.6517,1.581341,1.581341,0.0,549755813888.0,549755813888.0,134217728.0,8388608.0,1048576.0,134217728.0,277872640.0,1978.445283018868
16384,4096,11008,3.959331,3.959331,0.0,3.959331,3.959331,1,373.161193,3.959331,3.959331,0.0,1477468749824.0,1477468749824.0,360710144.0,22544384.0,2818048.0,134217728.0,520290304.0,2839.700717974556
16384,12288,4096,4.72623,4.72623,0.0,4.72623,4.72623,1,348.960438,4.72623,4.72623,0.0,1649267441664.0,1649267441664.0,134217728.0,25165824.0,3145728.0,402653184.0,565182464.0,2918.1150278293135
16384,22016,4096,8.212197,8.212197,0.0,8.212197,8.212197,1,359.823027,8.212197,8.212197,0.0,2954937499648.0,2954937499648.0,134217728.0,45088768.0,5636096.0,721420288.0,906362880.0,3260.2146059291395
32768,4096,4096,3.097634,3.097634,0.0,3.097634,3.097634,1,354.952126,3.097634,3.097634,0.0,1099511627776.0,1099511627776.0,268435456.0,8388608.0,1048576.0,268435456.0,546308096.0,2012.6218809980805
32768,4096,11008,7.87305,7.87305,0.0,7.87305,7.87305,1,375.323118,7.87305,7.87305,0.0,2954937499648.0,2954937499648.0,721420288.0,22544384.0,2818048.0,268435456.0,1015218176.0,2910.6428248660513
32768,12288,4096,9.375072,9.375072,0.0,9.375072,9.375072,1,351.841022,9.375072,9.375072,0.0,3298534883328.0,3298534883328.0,268435456.0,25165824.0,3145728.0,805306368.0,1102053376.0,2993.080875356803
32768,22016,4096,16.366875,16.366875,0.0,16.366875,16.366875,1,361.087559,16.366875,16.366875,0.0,5909874999296.0,5909874999296.0,268435456.0,45088768.0,5636096.0,1442840576.0,1762000896.0,3354.0703711969054
