m,n,k,latency_ms,tflops,source_file
16384,12288,4096,2.818371,585.184606,/root/workspaces/cospaq/fake/artifacts/debug/104_llama2_rtx_pro_6000_kernel_smoke/kernel_profile/m16384/targeted_profile.csv
16384,4096,4096,1.042707,527.238914,/root/workspaces/cospaq/fake/artifacts/debug/104_llama2_rtx_pro_6000_kernel_smoke/kernel_profile/m16384/targeted_profile.csv
16384,22016,4096,4.80897,614.463749,/root/workspaces/cospaq/fake/artifacts/debug/104_llama2_rtx_pro_6000_kernel_smoke/kernel_profile/m16384/targeted_profile.csv
16384,4096,11008,2.506685,589.411466,/root/workspaces/cospaq/fake/artifacts/debug/104_llama2_rtx_pro_6000_kernel_smoke/kernel_profile/m16384/targeted_profile.csv
32768,12288,4096,5.351146,616.416582,/root/workspaces/cospaq/fake/artifacts/debug/104_llama2_rtx_pro_6000_kernel_smoke/kernel_profile/m32768/targeted_profile.csv
32768,4096,4096,1.920965,572.374687,/root/workspaces/cospaq/fake/artifacts/debug/104_llama2_rtx_pro_6000_kernel_smoke/kernel_profile/m32768/targeted_profile.csv
32768,22016,4096,9.849757,600.002123,/root/workspaces/cospaq/fake/artifacts/debug/104_llama2_rtx_pro_6000_kernel_smoke/kernel_profile/m32768/targeted_profile.csv
32768,4096,11008,4.813088,613.937979,/root/workspaces/cospaq/fake/artifacts/debug/104_llama2_rtx_pro_6000_kernel_smoke/kernel_profile/m32768/targeted_profile.csv
16,12288,4096,0.060606,26.574961,/root/workspaces/cospaq/fake/artifacts/debug/104_llama2_rtx_pro_6000_kernel_smoke/kernel_profile/m16/targeted_profile.csv
16,4096,4096,0.057158,9.392686,/root/workspaces/cospaq/fake/artifacts/debug/104_llama2_rtx_pro_6000_kernel_smoke/kernel_profile/m16/targeted_profile.csv
16,22016,4096,0.05908,48.843621,/root/workspaces/cospaq/fake/artifacts/debug/104_llama2_rtx_pro_6000_kernel_smoke/kernel_profile/m16/targeted_profile.csv
16,4096,11008,0.112125,12.868166,/root/workspaces/cospaq/fake/artifacts/debug/104_llama2_rtx_pro_6000_kernel_smoke/kernel_profile/m16/targeted_profile.csv
