m,n,k,latency_ms,tflops,source_file
16384,12288,4096,3.059855,539.001878,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16384/targeted_profile.csv
16384,4096,4096,2.113614,260.102268,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16384/targeted_profile.csv
16384,22016,4096,4.186143,705.885405,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16384/targeted_profile.csv
16384,4096,11008,5.315304,277.965036,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16384/targeted_profile.csv
32768,12288,4096,6.052896,544.951521,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m32768/targeted_profile.csv
32768,4096,4096,4.184734,262.743486,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m32768/targeted_profile.csv
32768,22016,4096,8.284588,713.357702,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m32768/targeted_profile.csv
32768,4096,11008,10.500803,281.40111,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m32768/targeted_profile.csv
16,12288,4096,0.146066,11.026591,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16/targeted_profile.csv
16,4096,4096,0.133329,4.026654,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16/targeted_profile.csv
16,22016,4096,0.168281,17.147996,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16/targeted_profile.csv
16,4096,11008,0.162358,8.886798,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16/targeted_profile.csv
