m,n,k,latency_ms,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,samples,tflops,latency_q25_ms,latency_q75_ms,latency_iqr_ms,dense_flops,effective_work,bytes_activation,bytes_weight,bytes_scale,bytes_output,bytes_total,arithmetic_intensity
16,4096,4096,0.022246,0.022246,0.0,0.022246,0.022246,1,24.133629,0.022246,0.022246,0.0,536870912.0,536870912.0,131072.0,8388608.0,1048576.0,131072.0,9699328.0,55.351351351351354
16,4096,11008,0.028003,0.028003,0.0,0.028003,0.028003,1,51.524721,0.028003,0.028003,0.0,1442840576.0,1442840576.0,352256.0,22544384.0,2818048.0,131072.0,25845760.0,55.82503961965135
16,12288,4096,0.026128,0.026128,0.0,0.026128,0.026128,1,61.643925,0.026128,0.026128,0.0,1610612736.0,1610612736.0,131072.0,25165824.0,3145728.0,393216.0,28835840.0,55.85454545454545
16,22016,4096,0.030909,0.030909,0.0,0.030909,0.030909,1,93.361151,0.030909,0.030909,0.0,2885681152.0,2885681152.0,131072.0,45088768.0,5636096.0,704512.0,51560448.0,55.966952653320625
16384,4096,4096,1.542232,1.542232,0.0,1.542232,1.542232,1,356.467575,1.542232,1.542232,0.0,549755813888.0,549755813888.0,134217728.0,8388608.0,1048576.0,134217728.0,277872640.0,1978.445283018868
16384,4096,11008,4.041939,4.041939,0.0,4.041939,4.041939,1,365.53463,4.041939,4.041939,0.0,1477468749824.0,1477468749824.0,360710144.0,22544384.0,2818048.0,134217728.0,520290304.0,2839.700717974556
16384,12288,4096,4.777485,4.777485,0.0,4.777485,4.777485,1,345.216655,4.777485,4.777485,0.0,1649267441664.0,1649267441664.0,134217728.0,25165824.0,3145728.0,402653184.0,565182464.0,2918.1150278293135
16384,22016,4096,8.301893,8.301893,0.0,8.301893,8.301893,1,355.935383,8.301893,8.301893,0.0,2954937499648.0,2954937499648.0,134217728.0,45088768.0,5636096.0,721420288.0,906362880.0,3260.2146059291395
32768,4096,4096,3.082776,3.082776,0.0,3.082776,3.082776,1,356.662873,3.082776,3.082776,0.0,1099511627776.0,1099511627776.0,268435456.0,8388608.0,1048576.0,268435456.0,546308096.0,2012.6218809980805
32768,4096,11008,8.243859,8.243859,0.0,8.243859,8.243859,1,358.441073,8.243859,8.243859,0.0,2954937499648.0,2954937499648.0,721420288.0,22544384.0,2818048.0,268435456.0,1015218176.0,2910.6428248660513
32768,12288,4096,9.441176,9.441176,0.0,9.441176,9.441176,1,349.377535,9.441176,9.441176,0.0,3298534883328.0,3298534883328.0,268435456.0,25165824.0,3145728.0,805306368.0,1102053376.0,2993.080875356803
32768,22016,4096,16.690003,16.690003,0.0,16.690003,16.690003,1,354.096711,16.690003,16.690003,0.0,5909874999296.0,5909874999296.0,268435456.0,45088768.0,5636096.0,1442840576.0,1762000896.0,3354.0703711969054
