m,n,k,latency_ms,tflops,source_file
16384,12288,4096,4.777485,345.216655,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16384/targeted_profile.csv
16384,4096,4096,1.542232,356.467575,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16384/targeted_profile.csv
16384,22016,4096,8.301893,355.935383,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16384/targeted_profile.csv
16384,4096,11008,4.041939,365.53463,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16384/targeted_profile.csv
32768,12288,4096,9.441176,349.377535,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m32768/targeted_profile.csv
32768,4096,4096,3.082776,356.662873,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m32768/targeted_profile.csv
32768,22016,4096,16.690003,354.096711,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m32768/targeted_profile.csv
32768,4096,11008,8.243859,358.441073,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m32768/targeted_profile.csv
16,12288,4096,0.026128,61.643925,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16/targeted_profile.csv
16,4096,4096,0.022246,24.133629,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16/targeted_profile.csv
16,22016,4096,0.030909,93.361151,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16/targeted_profile.csv
16,4096,11008,0.028003,51.524721,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/kernel_profile/m16/targeted_profile.csv
