m,n,k,latency_ms,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,samples,tflops,latency_q25_ms,latency_q75_ms,latency_iqr_ms,dense_flops,effective_sparse_flops,bytes_activation_bf16,bytes_output_bf16,bytes_weight_sparse_bf16,bytes_sparse_bf16,arithmetic_intensity_sparse
16,4096,4096,0.05595,0.05595,0.0,0.05595,0.05595,1,9.595479,0.05595,0.05595,0.0,536870912.0,268435456.0,131072.0,131072.0,18874365.640704293,19136509.640704293,14.027398989679114
16,4096,11008,0.108228,0.108228,0.0,0.108228,0.108228,1,13.331471,0.108228,0.108228,0.0,1442840576.0,721420288.0,352256.0,131072.0,50724857.65939279,51208185.65939279,14.087987666629514
16,12288,4096,0.055856,0.055856,0.0,0.055856,0.055856,1,28.835254,0.055856,0.055856,0.0,1610612736.0,805306368.0,131072.0,393216.0,56623096.92211288,57147384.92211288,14.091744864573688
16,22016,4096,0.056509,0.056509,0.0,0.056509,0.056509,1,51.065471,0.056509,0.056509,0.0,2885681152.0,1442840576.0,131072.0,704512.0,101449715.31878558,102285299.31878558,14.106040512265578
16384,4096,4096,0.976126,0.976126,0.0,0.976126,0.976126,1,563.201646,0.976126,0.976126,0.0,549755813888.0,274877906944.0,134217728.0,134217728.0,18874365.640704293,287309821.6407043,956.7299348636573
16384,4096,11008,2.619211,2.619211,0.0,2.619211,2.619211,1,564.089269,2.619211,2.619211,0.0,1477468749824.0,738734374912.0,360710144.0,134217728.0,50724857.65939279,545652729.6593928,1353.8544476321645
16384,12288,4096,2.835213,2.835213,0.0,2.835213,2.835213,1,581.708454,2.835213,2.835213,0.0,1649267441664.0,824633720832.0,134217728.0,402653184.0,56623096.92211288,593494008.922113,1389.455846959056
16384,22016,4096,5.105579,5.105579,0.0,5.105579,5.105579,1,578.76636,5.105579,5.105579,0.0,2954937499648.0,1477468749824.0,134217728.0,721420288.0,101449715.31878558,957087731.3187855,1543.7129758085746
32768,4096,4096,1.924718,1.924718,0.0,1.924718,1.924718,1,571.258628,1.924718,1.924718,0.0,1099511627776.0,549755813888.0,268435456.0,268435456.0,18874365.640704293,555745277.6407043,989.2226457089636
32768,4096,11008,5.211799,5.211799,0.0,5.211799,5.211799,1,566.970726,5.211799,5.211799,0.0,2954937499648.0,1477468749824.0,721420288.0,268435456.0,50724857.65939279,1040580601.6593928,1419.8503676389032
32768,12288,4096,5.718819,5.718819,0.0,5.718819,5.718819,1,576.786038,5.718819,5.718819,0.0,3298534883328.0,1649267441664.0,268435456.0,805306368.0,56623096.92211288,1130364920.922113,1459.0575230506836
32768,22016,4096,10.273021,10.273021,0.0,10.273021,10.273021,1,575.281111,10.273021,10.273021,0.0,5909874999296.0,2954937499648.0,268435456.0,1442840576.0,101449715.31878558,1812725747.3187857,1630.1073143682474
