point_index,quality_ratio,predicted_quality_cost,raw_predicted_linear_ms,raw_linear_speedup_vs_dense,prefill_count_dense_bf16,prefill_count_dense_nvfp4,prefill_count_sparse_bf16,prefill_count_sparse_nvfp4,prefill_count_w4a16_ours,policy_json
0,0.0,0.0,538.8864959999997,1.0,128,0,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_only/pareto/policies/point_000.json
1,0.001,0.0012864952760572165,532.1397539999997,1.012678515275895,126,2,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_only/pareto/policies/point_001.json
2,0.001584893192461114,0.0019467795230921324,528.7663829999997,1.0191391006035269,125,3,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_only/pareto/policies/point_002.json
3,0.0025118864315095794,0.002590027161120741,525.3930119999997,1.0256826484018788,124,4,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_only/pareto/policies/point_003.json
4,0.003981071705534973,0.0039020773506874187,518.6462699999995,1.039025106649278,122,6,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_only/pareto/policies/point_004.json
5,0.00630957344480193,0.006500622816311313,505.15278599999954,1.0667792219203958,118,10,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_only/pareto/policies/point_005.json
6,0.01,0.010360108644482963,484.91255999999976,1.1113065332850938,112,16,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_only/pareto/policies/point_006.json
7,0.01584893192461114,0.01394713016471075,470.31671399999976,1.1457949078968943,107,21,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_only/pareto/policies/point_007.json
8,0.025118864315095808,0.01963395699542388,444.43210799999986,1.21252827214725,100,28,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_only/pareto/policies/point_008.json
9,0.039810717055349734,0.02739759720996463,413.300832,1.3038601770828269,80,48,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_only/pareto/policies/point_009.json
10,0.06309573444801933,0.045792508575592646,383.50769700000023,1.4051517093801624,56,57,9,6,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_only/pareto/policies/point_010.json
11,0.1,0.08572733574456104,371.8484680000005,1.4492099400016865,48,52,16,12,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_only/pareto/policies/point_011.json
12,0.15848931924611143,0.1514371607120999,363.24773500000043,1.4835233480533585,45,42,19,22,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_only/pareto/policies/point_012.json
13,0.25118864315095824,0.2503141882773943,351.6827510000004,1.532308577738574,37,38,27,26,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_only/pareto/policies/point_013.json
14,0.3981071705534973,0.40403509988130276,334.59277100000037,1.6105742344325757,32,25,32,39,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_only/pareto/policies/point_014.json
15,0.6309573444801936,0.6563673604880376,312.37417900000025,1.7251313720139438,25,0,39,64,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_only/pareto/policies/point_015.json
16,1.0,0.8304768645320152,302.6727040000001,1.7804264767793514,0,0,64,64,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_only/pareto/policies/point_016.json
