phase,method,layer_bucket,fused_type,blocks,output_rel_mse,output_mse,output_count
decode,dense_nvfp4,0,down_proj,16,0.005947385494418145,1.573173792817073e-05,41943040
decode,dense_nvfp4,0,gate_up_proj,16,0.003920786877789364,0.0002046833829005008,225443840
decode,dense_nvfp4,0,o_proj,16,0.005073615644345384,6.364004261083522e-06,41943040
decode,dense_nvfp4,0,qkv_proj,16,0.0008316927661757874,0.0009812214661205113,125829120
decode,dense_nvfp4,1,down_proj,16,0.006611084322840217,9.161511716229142e-05,41943040
decode,dense_nvfp4,1,gate_up_proj,16,0.003853061714178204,0.0005777016808657886,225443840
decode,dense_nvfp4,1,o_proj,16,0.007873409841521125,6.27337563173569e-05,41943040
decode,dense_nvfp4,1,qkv_proj,16,0.0014690743842230244,0.0020640255169079563,125829120
decode,dense_nvfp4,2,down_proj,16,0.006928197341732311,0.0003094404172770737,41943040
decode,dense_nvfp4,2,gate_up_proj,16,0.004833802423562015,0.0011860391412060274,225443840
decode,dense_nvfp4,2,o_proj,16,0.006312188238822612,9.281652205572755e-05,41943040
decode,dense_nvfp4,2,qkv_proj,16,0.0018744379820159398,0.0027042353353560126,125829120
decode,dense_nvfp4,3,down_proj,16,0.004076581977778515,0.0013160693137251656,41943040
decode,dense_nvfp4,3,gate_up_proj,16,0.003532441528121906,0.002017525634403492,225443840
decode,dense_nvfp4,3,o_proj,16,0.004993406970082283,0.0002482355686424853,41943040
decode,dense_nvfp4,3,qkv_proj,16,0.0023400584120159477,0.00356413347714503,125829120
