method,scenario,phase,iteration,warmup,batch,input_seq,output_seq,elapsed_ms,generated_tokens
dense_bf16,prefill_only,ttft,0,True,8,2048,1,1197.2683016210794,8
dense_bf16,prefill_only,ttft,1,False,8,2048,1,1076.8335834145546,8
dense_bf16,prefill_only,ttft,2,False,8,2048,1,1075.7797602564096,8
dense_bf16,prefill_only,ttft,3,False,8,2048,1,1074.3007566779852,8
dense_bf16,prefill_only,ttft,4,False,8,2048,1,1102.057395502925,8
dense_bf16,prefill_only,ttft,5,False,8,2048,1,1078.007886186242,8
dense_bf16,prefill_only,main,0,True,8,2048,1,1080.938769504428,8
dense_bf16,prefill_only,main,1,False,8,2048,1,1078.5292722284794,8
dense_bf16,prefill_only,main,2,False,8,2048,1,1079.535860568285,8
dense_bf16,prefill_only,main,3,False,8,2048,1,1080.5554147809744,8
dense_bf16,prefill_only,main,4,False,8,2048,1,1078.4960873425007,8
dense_bf16,prefill_only,main,5,False,8,2048,1,1093.2289473712444,8
dense_bf16,prefill_decode,ttft,0,True,16,2048,1,2277.5517906993628,16
dense_bf16,prefill_decode,ttft,1,False,16,2048,1,2171.049913391471,16
dense_bf16,prefill_decode,ttft,2,False,16,2048,1,2151.098508387804,16
dense_bf16,prefill_decode,ttft,3,False,16,2048,1,2145.5167829990387,16
dense_bf16,prefill_decode,ttft,4,False,16,2048,1,2145.8926126360893,16
dense_bf16,prefill_decode,ttft,5,False,16,2048,1,2152.4246521294117,16
dense_bf16,prefill_decode,main,0,True,16,2048,80,5005.945824086666,1280
dense_bf16,prefill_decode,main,1,False,16,2048,80,4894.294206053019,1280
dense_bf16,prefill_decode,main,2,False,16,2048,80,4867.426551878452,1280
dense_bf16,prefill_decode,main,3,False,16,2048,80,4869.412060827017,1280
dense_bf16,prefill_decode,main,4,False,16,2048,80,4868.067817762494,1280
dense_bf16,prefill_decode,main,5,False,16,2048,80,4865.173591300845,1280
