method,scenario,phase,iteration,warmup,batch,input_seq,output_seq,elapsed_ms,generated_tokens
dense_nvfp4,prefill_only,ttft,0,True,8,2048,1,690.3191339224577,8
dense_nvfp4,prefill_only,ttft,1,False,8,2048,1,584.0685199946165,8
dense_nvfp4,prefill_only,ttft,2,False,8,2048,1,615.3766755014658,8
dense_nvfp4,prefill_only,ttft,3,False,8,2048,1,576.4848496764898,8
dense_nvfp4,prefill_only,ttft,4,False,8,2048,1,580.6305725127459,8
dense_nvfp4,prefill_only,ttft,5,False,8,2048,1,580.9410866349936,8
dense_nvfp4,prefill_only,main,0,True,8,2048,1,580.343184992671,8
dense_nvfp4,prefill_only,main,1,False,8,2048,1,580.1108442246914,8
dense_nvfp4,prefill_only,main,2,False,8,2048,1,579.7010269016027,8
dense_nvfp4,prefill_only,main,3,False,8,2048,1,578.1633891165257,8
dense_nvfp4,prefill_only,main,4,False,8,2048,1,576.7561960965395,8
dense_nvfp4,prefill_only,main,5,False,8,2048,1,576.1781074106693,8
dense_nvfp4,prefill_decode,ttft,0,True,16,2048,1,1231.5909657627344,16
dense_nvfp4,prefill_decode,ttft,1,False,16,2048,1,1185.2278057485819,16
dense_nvfp4,prefill_decode,ttft,2,False,16,2048,1,1142.1670746058226,16
dense_nvfp4,prefill_decode,ttft,3,False,16,2048,1,1156.238593161106,16
dense_nvfp4,prefill_decode,ttft,4,False,16,2048,1,1157.1799609810114,16
dense_nvfp4,prefill_decode,ttft,5,False,16,2048,1,1162.6215651631355,16
dense_nvfp4,prefill_decode,main,0,True,16,2048,80,4411.613050848246,1280
dense_nvfp4,prefill_decode,main,1,False,16,2048,80,4329.406352713704,1280
dense_nvfp4,prefill_decode,main,2,False,16,2048,80,4299.703564494848,1280
dense_nvfp4,prefill_decode,main,3,False,16,2048,80,4281.825605779886,1280
dense_nvfp4,prefill_decode,main,4,False,16,2048,80,4292.3923674970865,1280
dense_nvfp4,prefill_decode,main,5,False,16,2048,80,4293.724669143558,1280
