method,scenario,phase,iteration,warmup,batch,input_seq,output_seq,elapsed_ms,generated_tokens
marlin_nvfp4,prefill_only,ttft,0,True,8,2048,1,1145.7337103784084,8
marlin_nvfp4,prefill_only,ttft,1,False,8,2048,1,1036.646518856287,8
marlin_nvfp4,prefill_only,ttft,2,False,8,2048,1,1033.0064352601767,8
marlin_nvfp4,prefill_only,ttft,3,False,8,2048,1,1033.2082938402891,8
marlin_nvfp4,prefill_only,ttft,4,False,8,2048,1,1032.8898672014475,8
marlin_nvfp4,prefill_only,ttft,5,False,8,2048,1,1032.908221706748,8
marlin_nvfp4,prefill_only,main,0,True,8,2048,1,1036.5115348249674,8
marlin_nvfp4,prefill_only,main,1,False,8,2048,1,1034.9917970597744,8
marlin_nvfp4,prefill_only,main,2,False,8,2048,1,1034.254601225257,8
marlin_nvfp4,prefill_only,main,3,False,8,2048,1,1033.1301130354404,8
marlin_nvfp4,prefill_only,main,4,False,8,2048,1,1039.40618224442,8
marlin_nvfp4,prefill_only,main,5,False,8,2048,1,1036.138566210866,8
marlin_nvfp4,prefill_decode,ttft,0,True,16,2048,1,2181.637931615114,16
marlin_nvfp4,prefill_decode,ttft,1,False,16,2048,1,2062.1120762079954,16
marlin_nvfp4,prefill_decode,ttft,2,False,16,2048,1,2061.67764775455,16
marlin_nvfp4,prefill_decode,ttft,3,False,16,2048,1,2061.8535317480564,16
marlin_nvfp4,prefill_decode,ttft,4,False,16,2048,1,2068.9575634896755,16
marlin_nvfp4,prefill_decode,ttft,5,False,16,2048,1,2065.8567994832993,16
marlin_nvfp4,prefill_decode,main,0,True,16,2048,80,3582.0260643959045,1280
marlin_nvfp4,prefill_decode,main,1,False,16,2048,80,3495.346687734127,1280
marlin_nvfp4,prefill_decode,main,2,False,16,2048,80,3491.6815385222435,1280
marlin_nvfp4,prefill_decode,main,3,False,16,2048,80,3495.499674230814,1280
marlin_nvfp4,prefill_decode,main,4,False,16,2048,80,3506.4687747508287,1280
marlin_nvfp4,prefill_decode,main,5,False,16,2048,80,3494.7958420962095,1280
