method,scenario,phase,iteration,warmup,batch,input_seq,output_seq,elapsed_ms,generated_tokens
sparse_nvfp4,prefill_only,ttft,0,True,8,2048,1,717.3708733171225,8
sparse_nvfp4,prefill_only,ttft,1,False,8,2048,1,543.2137902826071,8
sparse_nvfp4,prefill_only,ttft,2,False,8,2048,1,523.9479746669531,8
sparse_nvfp4,prefill_only,ttft,3,False,8,2048,1,520.2930737286806,8
sparse_nvfp4,prefill_only,ttft,4,False,8,2048,1,517.7544485777617,8
sparse_nvfp4,prefill_only,ttft,5,False,8,2048,1,517.5290182232857,8
sparse_nvfp4,prefill_only,main,0,True,8,2048,1,519.5739306509495,8
sparse_nvfp4,prefill_only,main,1,False,8,2048,1,517.524229362607,8
sparse_nvfp4,prefill_only,main,2,False,8,2048,1,519.0773196518421,8
sparse_nvfp4,prefill_only,main,3,False,8,2048,1,520.6317435950041,8
sparse_nvfp4,prefill_only,main,4,False,8,2048,1,522.8837337344885,8
sparse_nvfp4,prefill_only,main,5,False,8,2048,1,523.3628880232573,8
sparse_nvfp4,prefill_decode,ttft,0,True,16,2048,1,1175.5081824958324,16
sparse_nvfp4,prefill_decode,ttft,1,False,16,2048,1,1056.8615514785051,16
sparse_nvfp4,prefill_decode,ttft,2,False,16,2048,1,1064.1555842012167,16
sparse_nvfp4,prefill_decode,ttft,3,False,16,2048,1,1051.0522983968258,16
sparse_nvfp4,prefill_decode,ttft,4,False,16,2048,1,1050.2236355096102,16
sparse_nvfp4,prefill_decode,ttft,5,False,16,2048,1,1049.284813925624,16
sparse_nvfp4,prefill_decode,main,0,True,16,2048,80,4905.451584607363,1280
sparse_nvfp4,prefill_decode,main,1,False,16,2048,80,4710.575588047504,1280
sparse_nvfp4,prefill_decode,main,2,False,16,2048,80,4709.607038646936,1280
sparse_nvfp4,prefill_decode,main,3,False,16,2048,80,4723.442725837231,1280
sparse_nvfp4,prefill_decode,main,4,False,16,2048,80,4729.39645498991,1280
sparse_nvfp4,prefill_decode,main,5,False,16,2048,80,4734.625866636634,1280
