method,dataset,num_samples,empty_predictions,rougeL_percent,bert_score_percent,sacre_bleu,acc,acc_norm,tokens_per_second,metrics_path
dense_bf16,IWSLT,343,0,46.42525712544141,,19.112651256764728,,,90.248954111856,fake/artifacts/exports/vllm/baselines/llama2-7b-chat/results/quality/dense_bf16/IWSLT/metrics.json
dense_bf16,arc_challenge,1172,,,,,0.41638225255972694,0.431740614334471,,fake/artifacts/exports/vllm/baselines/llama2-7b-chat/results/quality/dense_bf16/arc_challenge/metrics.json
dense_bf16,cnn_dm_1000,1000,0,23.681785183505283,87.41021559238435,,,,83.52485700923005,fake/artifacts/exports/vllm/baselines/llama2-7b-chat/results/quality/dense_bf16/cnn_dm_1000/metrics.json
dense_bf16,dsum,1500,0,21.688158421291327,87.66923002004623,,,,88.4114548142052,fake/artifacts/exports/vllm/baselines/llama2-7b-chat/results/quality/dense_bf16/dsum/metrics.json
dense_nvfp4,IWSLT,343,0,44.8277669445886,,16.756852929727888,,,48.98187172815744,fake/artifacts/exports/vllm/baselines/llama2-7b-chat/results/quality/dense_nvfp4/IWSLT/metrics.json
dense_nvfp4,arc_challenge,1172,,,,,0.42150170648464164,0.4283276450511945,,fake/artifacts/exports/vllm/baselines/llama2-7b-chat/results/quality/dense_nvfp4/arc_challenge/metrics.json
dense_nvfp4,cnn_dm_1000,1000,0,24.27316709602392,87.43321253061295,,,,47.940465539079256,fake/artifacts/exports/vllm/baselines/llama2-7b-chat/results/quality/dense_nvfp4/cnn_dm_1000/metrics.json
dense_nvfp4,dsum,1500,0,20.592439983847946,87.08833129405976,,,,48.7139674212173,fake/artifacts/exports/vllm/baselines/llama2-7b-chat/results/quality/dense_nvfp4/dsum/metrics.json
marlin_nvfp4,IWSLT,343,0,46.78831619423078,,18.019035760464984,,,175.61214847628685,fake/artifacts/exports/vllm/baselines/llama2-7b-chat/results/quality/marlin_nvfp4/IWSLT/metrics.json
marlin_nvfp4,arc_challenge,1172,,,,,0.42150170648464164,0.4283276450511945,,fake/artifacts/exports/vllm/baselines/llama2-7b-chat/results/quality/marlin_nvfp4/arc_challenge/metrics.json
marlin_nvfp4,cnn_dm_1000,1000,0,24.504984700600897,87.47622509002686,,,,159.83113251106124,fake/artifacts/exports/vllm/baselines/llama2-7b-chat/results/quality/marlin_nvfp4/cnn_dm_1000/metrics.json
marlin_nvfp4,dsum,1500,0,21.241115833279522,87.4029876391093,,,,169.0196728813177,fake/artifacts/exports/vllm/baselines/llama2-7b-chat/results/quality/marlin_nvfp4/dsum/metrics.json
sparse_bf16,IWSLT,343,0,27.626464435983404,,7.833642159314896,,,92.3347980221885,fake/artifacts/exports/vllm/baselines/llama2-7b-chat/results/quality/sparse_bf16/IWSLT/metrics.json
sparse_bf16,arc_challenge,1172,,,,,0.3302047781569966,0.3447098976109215,,fake/artifacts/exports/vllm/baselines/llama2-7b-chat/results/quality/sparse_bf16/arc_challenge/metrics.json
sparse_bf16,cnn_dm_1000,1000,0,15.367561955996958,84.93523290157317,,,,84.49321383324657,fake/artifacts/exports/vllm/baselines/llama2-7b-chat/results/quality/sparse_bf16/cnn_dm_1000/metrics.json
sparse_bf16,dsum,1500,189,13.451587163014,74.31145843664805,,,,89.78209944778189,fake/artifacts/exports/vllm/baselines/llama2-7b-chat/results/quality/sparse_bf16/dsum/metrics.json
sparse_nvfp4,IWSLT,343,34,7.279201949735467,,0.888989703581296,,,40.76793068955997,fake/artifacts/exports/vllm/baselines/llama2-7b-chat/results/quality/sparse_nvfp4/IWSLT/metrics.json
sparse_nvfp4,arc_challenge,1172,,,,,0.20136518771331058,0.23720136518771331,,fake/artifacts/exports/vllm/baselines/llama2-7b-chat/results/quality/sparse_nvfp4/arc_challenge/metrics.json
sparse_nvfp4,cnn_dm_1000,1000,886,1.9072640993325447,9.591823136806488,,,,41.2355998674151,fake/artifacts/exports/vllm/baselines/llama2-7b-chat/results/quality/sparse_nvfp4/cnn_dm_1000/metrics.json
sparse_nvfp4,dsum,1500,885,5.960604357706932,34.89817312558492,,,,39.85704345251297,fake/artifacts/exports/vllm/baselines/llama2-7b-chat/results/quality/sparse_nvfp4/dsum/metrics.json
