method,scenario,phase,iteration,warmup,batch,input_seq,output_seq,elapsed_ms,generated_tokens
marlin_nvfp4,prefill_only,ttft,0,True,8,2048,1,1201.880343258381,8
marlin_nvfp4,prefill_only,ttft,1,False,8,2048,1,1114.3063213676214,8
marlin_nvfp4,prefill_only,ttft,2,False,8,2048,1,1111.4494353532791,8
marlin_nvfp4,prefill_only,ttft,3,False,8,2048,1,1105.6332029402256,8
marlin_nvfp4,prefill_only,ttft,4,False,8,2048,1,1110.9337080270052,8
marlin_nvfp4,prefill_only,ttft,5,False,8,2048,1,1111.111344769597,8
marlin_nvfp4,prefill_only,main,0,True,8,2048,1,1110.321581363678,8
marlin_nvfp4,prefill_only,main,1,False,8,2048,1,1111.3507114350796,8
marlin_nvfp4,prefill_only,main,2,False,8,2048,1,1107.0368606597185,8
marlin_nvfp4,prefill_only,main,3,False,8,2048,1,1109.9732518196106,8
marlin_nvfp4,prefill_only,main,4,False,8,2048,1,1109.5490977168083,8
marlin_nvfp4,prefill_only,main,5,False,8,2048,1,1113.4499572217464,8
marlin_nvfp4,prefill_decode,ttft,0,True,16,2048,1,2308.331023901701,16
marlin_nvfp4,prefill_decode,ttft,1,False,16,2048,1,2217.2465212643147,16
marlin_nvfp4,prefill_decode,ttft,2,False,16,2048,1,2211.540848016739,16
marlin_nvfp4,prefill_decode,ttft,3,False,16,2048,1,2218.802912160754,16
marlin_nvfp4,prefill_decode,ttft,4,False,16,2048,1,2214.7320210933685,16
marlin_nvfp4,prefill_decode,ttft,5,False,16,2048,1,2213.674681261182,16
marlin_nvfp4,prefill_decode,main,0,True,16,2048,80,3204.572284594178,1280
marlin_nvfp4,prefill_decode,main,1,False,16,2048,80,3130.8088582009077,1280
marlin_nvfp4,prefill_decode,main,2,False,16,2048,80,3141.2256844341755,1280
marlin_nvfp4,prefill_decode,main,3,False,16,2048,80,3140.1199530810118,1280
marlin_nvfp4,prefill_decode,main,4,False,16,2048,80,3125.5555413663387,1280
marlin_nvfp4,prefill_decode,main,5,False,16,2048,80,3134.7033604979515,1280
