method,scenario,phase,iteration,warmup,batch,input_seq,output_seq,elapsed_ms,generated_tokens
sparse_nvfp4,prefill_only,ttft,0,True,8,2048,1,691.2051048129797,8
sparse_nvfp4,prefill_only,ttft,1,False,8,2048,1,552.0778950303793,8
sparse_nvfp4,prefill_only,ttft,2,False,8,2048,1,567.9820757359266,8
sparse_nvfp4,prefill_only,ttft,3,False,8,2048,1,568.0528040975332,8
sparse_nvfp4,prefill_only,ttft,4,False,8,2048,1,552.2488038986921,8
sparse_nvfp4,prefill_only,ttft,5,False,8,2048,1,572.4776349961758,8
sparse_nvfp4,prefill_only,main,0,True,8,2048,1,571.3480617851019,8
sparse_nvfp4,prefill_only,main,1,False,8,2048,1,569.5662181824446,8
sparse_nvfp4,prefill_only,main,2,False,8,2048,1,568.599171936512,8
sparse_nvfp4,prefill_only,main,3,False,8,2048,1,551.7584681510925,8
sparse_nvfp4,prefill_only,main,4,False,8,2048,1,569.1112857311964,8
sparse_nvfp4,prefill_only,main,5,False,8,2048,1,569.0096169710159,8
sparse_nvfp4,prefill_decode,ttft,0,True,16,2048,1,1280.8019425719976,16
sparse_nvfp4,prefill_decode,ttft,1,False,16,2048,1,1138.9367543160915,16
sparse_nvfp4,prefill_decode,ttft,2,False,16,2048,1,1120.8017226308584,16
sparse_nvfp4,prefill_decode,ttft,3,False,16,2048,1,1145.4961188137531,16
sparse_nvfp4,prefill_decode,ttft,4,False,16,2048,1,1144.7141543030739,16
sparse_nvfp4,prefill_decode,ttft,5,False,16,2048,1,1142.2200538218021,16
sparse_nvfp4,prefill_decode,main,0,True,16,2048,80,4682.1527779102325,1280
sparse_nvfp4,prefill_decode,main,1,False,16,2048,80,4581.095976755023,1280
sparse_nvfp4,prefill_decode,main,2,False,16,2048,80,4589.6831545978785,1280
sparse_nvfp4,prefill_decode,main,3,False,16,2048,80,4602.145247161388,1280
sparse_nvfp4,prefill_decode,main,4,False,16,2048,80,4595.444628968835,1280
sparse_nvfp4,prefill_decode,main,5,False,16,2048,80,4584.955649450421,1280
