method,dataset,num_samples,empty_predictions,rougeL_percent,bert_score_percent,sacre_bleu,tokens_per_second,metrics_path
dense_bf16,IWSLT,333,0,28.146332320957857,,10.680476355207592,84.03773159917343,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/baselines/llama3.1-8b-instruct/results/quality/dense_bf16/IWSLT/metrics.json
dense_bf16,cnn_dm_1000,1000,0,19.486646011844265,83.60009970664977,,81.68219838446738,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/baselines/llama3.1-8b-instruct/results/quality/dense_bf16/cnn_dm_1000/metrics.json
dense_bf16,dsum,1500,0,13.783951364337065,78.18674818277358,,83.05001735927348,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/baselines/llama3.1-8b-instruct/results/quality/dense_bf16/dsum/metrics.json
dense_nvfp4,IWSLT,333,0,28.408472488828814,,10.312041924822964,29.80282455331593,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/baselines/llama3.1-8b-instruct/results/quality/dense_nvfp4/IWSLT/metrics.json
dense_nvfp4,cnn_dm_1000,1000,0,16.344504766563386,84.9877464413643,,43.68487996102097,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/baselines/llama3.1-8b-instruct/results/quality/dense_nvfp4/cnn_dm_1000/metrics.json
dense_nvfp4,dsum,1500,0,8.203298439632116,81.6342495282491,,39.210602540840654,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/baselines/llama3.1-8b-instruct/results/quality/dense_nvfp4/dsum/metrics.json
marlin_nvfp4,IWSLT,333,0,28.80511531991448,,10.402559279928408,105.26394461594846,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/baselines/llama3.1-8b-instruct/results/quality/marlin_nvfp4/IWSLT/metrics.json
marlin_nvfp4,cnn_dm_1000,1000,0,16.10773075852231,85.06098644137381,,91.18943798024306,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/baselines/llama3.1-8b-instruct/results/quality/marlin_nvfp4/cnn_dm_1000/metrics.json
marlin_nvfp4,dsum,1500,0,8.804901982066879,81.43927837610245,,98.47115137303281,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/baselines/llama3.1-8b-instruct/results/quality/marlin_nvfp4/dsum/metrics.json
sparse_bf16,IWSLT,333,0,14.32176254535821,,3.2758777819110736,56.30890866768004,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/baselines/llama3.1-8b-instruct/results/quality/sparse_bf16/IWSLT/metrics.json
sparse_bf16,cnn_dm_1000,1000,0,12.833600396952004,81.27784140110016,,59.103936010344874,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/baselines/llama3.1-8b-instruct/results/quality/sparse_bf16/cnn_dm_1000/metrics.json
sparse_bf16,dsum,1500,0,4.048546159014087,79.12817947069803,,62.44926367715843,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/baselines/llama3.1-8b-instruct/results/quality/sparse_bf16/dsum/metrics.json
sparse_nvfp4,IWSLT,333,0,0.11014530650602607,,0.014353592937392537,36.281515132073,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/baselines/llama3.1-8b-instruct/results/quality/sparse_nvfp4/IWSLT/metrics.json
sparse_nvfp4,cnn_dm_1000,1000,0,0.8038018032944585,76.72894817590714,,33.272415050002074,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/baselines/llama3.1-8b-instruct/results/quality/sparse_nvfp4/cnn_dm_1000/metrics.json
sparse_nvfp4,dsum,1500,0,0.1255593501235601,78.43803541262945,,35.293199417897135,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/baselines/llama3.1-8b-instruct/results/quality/sparse_nvfp4/dsum/metrics.json
