method,model_key,model_path,batch,input_seq,output_seq,max_model_len,total_prompt_tokens,total_tokens,iter,elapsed_ms
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,1,128,1,129,128,129,0,32.5995534658432
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,1,128,1,129,128,129,1,53.55764366686344
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,1,128,1,129,128,129,2,61.86375021934509
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,2,128,1,129,256,258,0,80.82613535225391
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,2,128,1,129,256,258,1,62.41394951939583
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,2,128,1,129,256,258,2,60.41543185710907
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,4,128,1,129,512,516,0,60.93684025108814
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,4,128,1,129,512,516,1,59.316935017704964
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,4,128,1,129,512,516,2,58.56621824204922
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,8,128,1,129,1024,1032,0,67.1317670494318
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,8,128,1,129,1024,1032,1,65.77086076140404
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,8,128,1,129,1024,1032,2,65.94094634056091
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,16,128,1,129,2048,2064,0,112.57402412593365
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,16,128,1,129,2048,2064,1,97.17660397291183
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,16,128,1,129,2048,2064,2,93.11126358807087
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,32,128,1,129,4096,4128,0,155.5220764130354
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,32,128,1,129,4096,4128,1,136.62815280258656
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,32,128,1,129,4096,4128,2,151.2567773461342
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,64,128,1,129,8192,8256,0,283.5826873779297
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,64,128,1,129,8192,8256,1,320.54453343153
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,64,128,1,129,8192,8256,2,344.22652423381805
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,128,128,1,129,16384,16512,0,559.1858495026827
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,128,128,1,129,16384,16512,1,600.2517696470022
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,128,128,1,129,16384,16512,2,606.4026616513729
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,256,128,1,129,32768,33024,0,1175.6848823279142
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,256,128,1,129,32768,33024,1,1182.3663264513016
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,256,128,1,129,32768,33024,2,1169.2053098231554
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,512,128,1,129,65536,66048,0,2303.4854643046856
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,512,128,1,129,65536,66048,1,2288.888541981578
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,512,128,1,129,65536,66048,2,2291.5385719388723
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,1024,128,1,129,131072,132096,0,4542.663415893912
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,1024,128,1,129,131072,132096,1,4534.561702981591
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,1024,128,1,129,131072,132096,2,4539.074180647731
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,1,128,16,144,128,144,0,460.5791047215462
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,1,128,16,144,128,144,1,454.6103496104479
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,1,128,16,144,128,144,2,427.89512127637863
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,2,128,16,144,256,288,0,441.02064706385136
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,2,128,16,144,256,288,1,457.2283811867237
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,2,128,16,144,256,288,2,488.9595415443182
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,4,128,16,144,512,576,0,487.5011295080185
