method,model_key,model_path,batch,input_seq,output_seq,max_model_len,total_prompt_tokens,total_tokens,status,iters,mean_ms,median_ms,min_ms,max_ms,std_ms,input_tokens_per_s_median,total_tokens_per_s_median,error
hetero,hetero_strategy_a,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/hetero_strategy_a,1,128,1,129,128,129,OK,3,22.87956140935421,22.66557514667511,22.459642961621284,23.513466119766235,0.5585502686618065,5647.330772401633,5691.450544061021,
hetero,hetero_strategy_a,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/hetero_strategy_a,2,128,1,129,256,258,OK,3,44.030734027425446,43.96810568869114,43.93312335014343,44.19097304344177,0.13986903764942576,5822.402307085173,5867.889825109276,
hetero,hetero_strategy_b,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/hetero_strategy_b,4,128,1,129,512,516,OK,3,51.881795128186546,51.79249309003353,51.65358632802963,52.19930596649647,0.28360821826210336,9885.602515985556,9962.833785641693,
hetero,hetero_strategy_c,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/hetero_strategy_c,2048,128,1,129,262144,264192,PRECHECK_OOM,0,nan,nan,nan,nan,nan,nan,nan,
hetero,hetero_strategy_c,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/hetero_strategy_c,4096,128,1,129,524288,528384,PRECHECK_OOM,0,nan,nan,nan,nan,nan,nan,nan,
hetero,hetero_strategy_c,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/hetero_strategy_c,8,128,1,129,1024,1032,OK,3,61.34986567000548,61.12644076347351,61.02628819644451,61.89686805009842,0.4763573627447459,16752.161375832922,16883.037636581616,
hetero,hetero_strategy_c,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/hetero_strategy_c,16,128,1,129,2048,2064,OK,3,167.5350113461415,107.28181526064873,106.91553354263306,288.4076852351427,104.67896641819628,19089.908154744026,19239.04806220296,
hetero,hetero_strategy_c,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/hetero_strategy_c,32,128,1,129,4096,4128,OK,3,193.81887465715408,193.79479251801968,192.912882193923,194.74894925951958,0.9182704010317855,21135.758844599193,21300.881960572624,
hetero,hetero_strategy_c,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/hetero_strategy_c,64,128,1,129,8192,8256,OK,3,421.12932975093526,381.54652155935764,381.2345154583454,500.60695223510265,68.82981689466887,21470.514176147615,21638.252568148768,
hetero,hetero_strategy_c,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/hetero_strategy_c,128,128,1,129,16384,16512,OK,3,755.9456682453553,755.6871324777603,755.4648574441671,756.6850148141384,0.6498665703190513,21680.930236670632,21850.312504144622,
