method,model_key,model_path,batch,input_seq,output_seq,max_model_len,total_prompt_tokens,total_tokens,status,iters,mean_ms,median_ms,min_ms,max_ms,std_ms,input_tokens_per_s_median,total_tokens_per_s_median,error
sparse_nvfp4,sparse_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_sparse_nvfp4,2048,128,1,129,262144,264192,PRECHECK_OOM,0,nan,nan,nan,nan,nan,nan,nan,
sparse_nvfp4,sparse_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_sparse_nvfp4,4096,128,1,129,524288,528384,PRECHECK_OOM,0,nan,nan,nan,nan,nan,nan,nan,
sparse_nvfp4,sparse_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_sparse_nvfp4,1,128,1,129,128,129,OK,3,33.31420694788297,32.991914078593254,32.4260201305151,34.52468663454056,1.0858198717908323,3879.7385230538225,3910.0489802651805,
sparse_nvfp4,sparse_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_sparse_nvfp4,2,128,1,129,256,258,OK,3,62.25108044842879,62.307216227054596,61.951979994773865,62.49404512345791,0.2753580762666249,4108.673368861591,4140.772379555822,
sparse_nvfp4,sparse_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_sparse_nvfp4,4,128,1,129,512,516,OK,3,67.1282634139061,64.0834141522646,63.18070739507675,74.12066869437695,6.072398091128051,7989.586802966971,8052.00544986515,
sparse_nvfp4,sparse_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_sparse_nvfp4,8,128,1,129,1024,1032,OK,3,84.50688794255257,80.47238364815712,66.54169410467148,106.5065860748291,20.285612295977508,12724.862289119608,12824.275275753356,
sparse_nvfp4,sparse_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_sparse_nvfp4,16,128,1,129,2048,2064,OK,3,80.45513182878494,86.32266521453857,61.80615909397602,93.23657117784023,16.51631502379025,23724.93938770409,23910.29047667053,
sparse_nvfp4,sparse_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_sparse_nvfp4,32,128,1,129,4096,4128,OK,3,136.595593765378,145.39603143930435,115.07578380405903,149.31496605277061,18.73942842523801,28171.332872382267,28391.42141044775,
sparse_nvfp4,sparse_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_sparse_nvfp4,64,128,1,129,8192,8256,OK,3,284.6621870994568,263.11262138187885,255.2194818854332,335.6544580310583,44.33660095055752,31134.95641894814,31378.19826597117,
sparse_nvfp4,sparse_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_sparse_nvfp4,128,128,1,129,16384,16512,OK,3,555.9327838321527,561.2181480973959,540.6209770590067,565.9592263400555,13.470635683566483,29193.638971839984,29421.714276307484,
sparse_nvfp4,sparse_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_sparse_nvfp4,256,128,1,129,32768,33024,OK,3,1060.1038032521803,1060.7312489300966,1055.1194660365582,1064.4606947898865,4.702117046028709,30891.89654123167,31133.23948296004,
sparse_nvfp4,sparse_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_sparse_nvfp4,512,128,1,129,65536,66048,OK,3,2063.378557562828,2070.4223792999983,2044.4111954420805,2075.3020979464054,16.606430467794713,31653.444560504347,31900.73709613329,
