method,model_key,model_path,batch,input_seq,output_seq,max_model_len,total_prompt_tokens,total_tokens,status,iters,mean_ms,median_ms,min_ms,max_ms,std_ms,input_tokens_per_s_median,total_tokens_per_s_median,error
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,2048,128,1,129,262144,264192,PRECHECK_OOM,0,nan,nan,nan,nan,nan,nan,nan,
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,4096,128,1,129,524288,528384,PRECHECK_OOM,0,nan,nan,nan,nan,nan,nan,nan,
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,128,1,129,128,129,OK,3,21.985371286670368,21.75370417535305,21.559342741966248,22.643066942691803,0.5778120573847032,5884.055375958638,5930.024558583315,
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,2,128,1,129,256,258,OK,3,42.25318071742853,42.25316271185875,42.191820219159126,42.3145592212677,0.06136950303532313,6058.718059657844,6106.051794498921,
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,4,128,1,129,512,516,OK,3,58.70001142223676,58.6690828204155,58.64504538476467,58.78590606153011,0.07535161824850399,8726.913314244546,8795.092324512083,
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,8,128,1,129,1024,1032,OK,3,89.60759515563647,86.52225695550442,86.41873858869076,95.88178992271423,5.433858573287166,11835.105047324527,11927.56680550675,
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,16,128,1,129,2048,2064,OK,3,155.0201258311669,154.964717105031,154.9289934337139,155.16666695475578,0.1281591621777842,13215.911584647487,13319.160893902546,
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,32,128,1,129,4096,4128,OK,3,276.1757417271535,276.11069194972515,276.0402709245682,276.37626230716705,0.17718960876073023,14834.630166171937,14950.525714345156,
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,64,128,1,129,8192,8256,OK,3,502.4999976158142,502.4586655199528,502.0314808934927,503.00984643399715,0.4904906108406847,16303.828677176418,16431.20233871686,
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,128,128,1,129,16384,16512,OK,3,1020.6231605261564,1020.9606494754553,1017.8676620125771,1023.0411700904369,2.6032135047080733,16047.631226940724,16173.0033459012,
