method,model_key,model_path,batch,input_seq,output_seq,max_model_len,total_prompt_tokens,total_tokens,iter,elapsed_ms
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,512,1,513,512,513,0,46.34087160229683
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,512,1,513,512,513,1,45.59161141514778
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,512,1,513,512,513,2,45.45588418841362
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,512,1,513,512,513,3,45.42308859527111
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,512,1,513,512,513,4,45.36535032093525
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,1,512,1,513,512,513,0,29.466424137353897
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,1,512,1,513,512,513,1,28.850222006440163
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,1,512,1,513,512,513,2,28.67092750966549
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,1,512,1,513,512,513,3,29.31896410882473
dense_nvfp4,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_dense_nvfp4,1,512,1,513,512,513,4,28.499661013484
sparse_bf16,sparse_bf16,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_sparse_bf16,1,512,1,513,512,513,0,26.164796203374863
sparse_bf16,sparse_bf16,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_sparse_bf16,1,512,1,513,512,513,1,25.482309982180595
sparse_bf16,sparse_bf16,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_sparse_bf16,1,512,1,513,512,513,2,25.346366688609123
sparse_bf16,sparse_bf16,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_sparse_bf16,1,512,1,513,512,513,3,25.378825142979622
sparse_bf16,sparse_bf16,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_sparse_bf16,1,512,1,513,512,513,4,25.308329612016678
sparse_nvfp4,sparse_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_sparse_nvfp4,1,512,1,513,512,513,0,31.012345105409622
sparse_nvfp4,sparse_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_sparse_nvfp4,1,512,1,513,512,513,1,28.739234432578087
sparse_nvfp4,sparse_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_sparse_nvfp4,1,512,1,513,512,513,2,27.873503044247627
sparse_nvfp4,sparse_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_sparse_nvfp4,1,512,1,513,512,513,3,27.822762727737427
sparse_nvfp4,sparse_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_sparse_nvfp4,1,512,1,513,512,513,4,27.944594621658325
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,1,512,1,513,512,513,0,35.35529039800167
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,1,512,1,513,512,513,1,34.52237881720066
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,1,512,1,513,512,513,2,34.40284542739391
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,1,512,1,513,512,513,3,34.29277427494526
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,1,512,1,513,512,513,4,34.32035446166992
