scenario,batch,input_seq,output_seq,policy_name,policy_hash,quality_budget,solve_mode,quality_cost,predicted_linear_ms,dense_linear_ms,speed_optimal_linear_ms,predicted_speedup_vs_dense,speed_gap_to_optimal_ms,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,measured_best_method,measured_best_speedup,measured_hetero_speedup
b2_in16384_out128,2,16384,128,maxspeed_000_4f5ae62f3f,4f5ae62f3fde0dbb01689eb73bfeb14dc44689ddc42505bed669f17fc28551d6,0.29584014634,max_speed,0.216190828861,2984.417549,3479.751425,2984.417549,1.165973,0.000000,64,64,0,0,marlin_nvfp4,8.530,8.527
b2_in16384_out64,2,16384,64,maxspeed_001_2ac520a243,2ac520a243538ec800d394d8dfc3eda947d67e0d09e4abf5dcc45b803d919513,0.29584014634,max_speed,0.266931300353,2082.850423,2784.638382,2082.850423,1.336936,0.000000,32,96,0,0,hetero,6.350,6.350
b4_in16384_out128,4,16384,128,maxspeed_000_4f5ae62f3f,4f5ae62f3fde0dbb01689eb73bfeb14dc44689ddc42505bed669f17fc28551d6,0.29584014634,max_speed,0.216190828861,4421.012539,5701.399775,4421.012539,1.289614,0.000000,64,64,0,0,sparse_nvfp4,4.098,3.360
b4_in16384_out64,4,16384,64,maxspeed_001_2ac520a243,2ac520a243538ec800d394d8dfc3eda947d67e0d09e4abf5dcc45b803d919513,0.29584014634,max_speed,0.266931300353,3371.168818,4991.205924,3371.168818,1.480557,0.000000,32,96,0,0,sparse_nvfp4,3.870,3.150
b8_in16384_out128,8,16384,128,maxspeed_002_1556299ab3,1556299ab3f391acf4fa8defba27ff381a6e4233a7968b30b96f3cc33329cb5a,0.29584014634,max_speed,0.530133636441,3465.002992,10232.730635,3465.002992,2.953166,-0.000000,0,0,128,0,sparse_nvfp4,3.605,2.824
b8_in16384_out64,8,16384,64,maxspeed_002_1556299ab3,1556299ab3f391acf4fa8defba27ff381a6e4233a7968b30b96f3cc33329cb5a,0.29584014634,max_speed,0.530133636441,2726.376769,9532.331463,2726.376769,3.496337,-0.000000,0,0,128,0,sparse_nvfp4,3.473,2.717
b4_in1024_out1,4,1024,1,maxspeed_003_74a8a502ad,74a8a502ad7066f5c323ac5681737331f20dec6ed02cee6676db5a0b52829144,0.29584014634,max_speed,0.32132498665,128.838131,277.157814,128.838131,2.151210,0.000000,0,128,0,0,sparse_nvfp4,2.470,1.858
b2_in1024_out1,2,1024,1,maxspeed_003_74a8a502ad,74a8a502ad7066f5c323ac5681737331f20dec6ed02cee6676db5a0b52829144,0.29584014634,max_speed,0.32132498665,76.594977,148.428248,76.594977,1.937833,0.000000,0,128,0,0,sparse_nvfp4,2.455,1.945
b4_in512_out1,4,512,1,maxspeed_003_74a8a502ad,74a8a502ad7066f5c323ac5681737331f20dec6ed02cee6676db5a0b52829144,0.29584014634,max_speed,0.32132498665,77.910603,148.663886,77.910603,1.908134,-0.000000,0,128,0,0,sparse_nvfp4,2.286,1.819
b2_in4096_out1,2,4096,1,maxspeed_003_74a8a502ad,74a8a502ad7066f5c323ac5681737331f20dec6ed02cee6676db5a0b52829144,0.29584014634,max_speed,0.32132498665,238.278135,524.741369,238.278135,2.202222,0.000000,0,128,0,0,sparse_nvfp4,2.259,1.818
b1_in4096_out1,1,4096,1,maxspeed_003_74a8a502ad,74a8a502ad7066f5c323ac5681737331f20dec6ed02cee6676db5a0b52829144,0.29584014634,max_speed,0.32132498665,127.189458,277.010660,127.189458,2.177937,0.000000,0,128,0,0,sparse_nvfp4,2.251,1.796
b8_in512_out1,8,512,1,maxspeed_004_f2600ffcfc,f2600ffcfc56dac611728e9bfda34e01b9a9e27d520782c27ad77938eed0ffd5,0.29584014634,max_speed,0.378773941307,116.380575,277.004773,116.380575,2.380163,-0.000000,0,64,64,0,sparse_nvfp4,2.187,1.409
b128_in256_out64,128,256,64,maxspeed_005_4746310a30,4746310a3003da110ad4329069b692035e181a11cdd126a26d52a67f84f36808,0.29584014634,max_speed,0.81435225446,1649.806504,2926.016408,1649.806504,1.773551,0.000000,0,0,96,32,sparse_bf16,1.776,1.719
b32_in4096_out16,32,4096,16,maxspeed_002_1556299ab3,1556299ab3f391acf4fa8defba27ff381a6e4233a7968b30b96f3cc33329cb5a,0.29584014634,max_speed,0.530133636441,2172.972925,9016.012075,2172.972925,4.149160,-0.000000,0,0,128,0,sparse_nvfp4,1.734,1.366
b256_in512_out16,256,512,16,maxspeed_002_1556299ab3,1556299ab3f391acf4fa8defba27ff381a6e4233a7968b30b96f3cc33329cb5a,0.29584014634,max_speed,0.530133636441,2218.967331,9157.438872,2218.967331,4.126892,-0.000000,0,0,128,0,sparse_nvfp4,1.732,1.388
b64_in512_out16,64,512,16,maxspeed_005_4746310a30,4746310a3003da110ad4329069b692035e181a11cdd126a26d52a67f84f36808,0.29584014634,max_speed,0.81435225446,1005.895068,2283.597514,1005.895068,2.270214,-0.000000,0,0,96,32,sparse_nvfp4,1.713,1.453
