scenario,batch,input_seq,output_seq,dense_bf16_speedup,optimized_policy,optimized_quality_cost,dense_nvfp4_speedup,sparse_bf16_speedup,sparse_nvfp4_speedup,marlin_nvfp4_speedup,original_hetero_speedup,optimized_hetero_speedup,optimized_vs_best_single_speedup,optimized_arc_acc_norm,max_speed_hetero_speedup,max_speed_vs_best_single_speedup,max_speed_arc_acc_norm,max_speed_policy,max_speed_quality_cost
b2_in16384_out128,2,16384,128,1.000,policy_000_4f5ae62f3f,0.216190828861,6.889,8.074,6.679,8.530,8.527,7.255,0.851 (marlin_nvfp4),0.4428,7.371,0.864 (marlin_nvfp4),0.4428,maxspeed_000_4f5ae62f3f,0.216190828861
b2_in16384_out64,2,16384,64,1.000,policy_001_2ac520a243,0.266931300353,5.669,6.324,5.615,5.883,6.350,5.653,0.894 (sparse_bf16),0.4309,5.708,0.903 (sparse_bf16),0.4309,maxspeed_001_2ac520a243,0.266931300353
b4_in16384_out128,4,16384,128,1.000,policy_000_4f5ae62f3f,0.216190828861,3.867,3.751,4.098,2.716,3.360,3.695,0.902 (sparse_nvfp4),0.4428,3.694,0.901 (sparse_nvfp4),0.4428,maxspeed_000_4f5ae62f3f,0.216190828861
b4_in16384_out64,4,16384,64,1.000,policy_001_2ac520a243,0.266931300353,3.648,3.519,3.870,2.545,3.150,3.664,0.947 (sparse_nvfp4),0.4309,3.599,0.930 (sparse_nvfp4),0.4309,maxspeed_001_2ac520a243,0.266931300353
b8_in16384_out128,8,16384,128,1.000,policy_002_605d24248e,0.271049145648,3.359,3.212,3.605,2.244,2.824,12.798,3.550 (sparse_nvfp4),0.3618,3.195,0.886 (sparse_nvfp4),0.3362,maxspeed_002_1556299ab3,0.530133636441
b8_in16384_out64,8,16384,64,1.000,policy_003_23b5bafdf0,0.270692073268,3.226,3.089,3.473,2.158,2.717,9.643,2.777 (sparse_nvfp4),0.3660,3.069,0.884 (sparse_nvfp4),0.3362,maxspeed_002_1556299ab3,0.530133636441
b4_in1024_out1,4,1024,1,1.000,policy_001_2ac520a243,0.266931300353,2.126,1.743,2.470,1.098,1.858,2.021,0.818 (sparse_nvfp4),0.4309,2.179,0.882 (sparse_nvfp4),0.4317,maxspeed_003_74a8a502ad,0.32132498665
b2_in1024_out1,2,1024,1,1.000,policy_001_2ac520a243,0.266931300353,2.118,1.729,2.455,1.190,1.945,2.166,0.882 (sparse_nvfp4),0.4309,2.270,0.925 (sparse_nvfp4),0.4317,maxspeed_003_74a8a502ad,0.32132498665
b4_in512_out1,4,512,1,1.000,policy_001_2ac520a243,0.266931300353,2.058,1.723,2.286,1.178,1.819,1.937,0.847 (sparse_nvfp4),0.4309,2.036,0.891 (sparse_nvfp4),0.4317,maxspeed_003_74a8a502ad,0.32132498665
b2_in4096_out1,2,4096,1,1.000,policy_001_2ac520a243,0.266931300353,2.010,1.676,2.259,1.071,1.818,1.875,0.830 (sparse_nvfp4),0.4309,2.029,0.898 (sparse_nvfp4),0.4317,maxspeed_003_74a8a502ad,0.32132498665
b1_in4096_out1,1,4096,1,1.000,policy_001_2ac520a243,0.266931300353,2.008,1.683,2.251,1.072,1.796,1.858,0.825 (sparse_nvfp4),0.4309,2.014,0.894 (sparse_nvfp4),0.4317,maxspeed_003_74a8a502ad,0.32132498665
b8_in512_out1,8,512,1,1.000,policy_004_4831f76351,0.267393081971,1.945,1.669,2.187,1.052,1.409,1.934,0.884 (sparse_nvfp4),0.4369,2.229,1.020 (sparse_nvfp4),0.4087,maxspeed_004_f2600ffcfc,0.378773941307
b128_in256_out64,128,256,64,1.000,policy_005_023ac1246d,0.277551275605,1.535,1.776,1.579,1.469,1.719,1.443,0.812 (sparse_bf16),0.4061,1.934,1.089 (sparse_bf16),0.2884,maxspeed_005_4746310a30,0.81435225446
b32_in4096_out16,32,4096,16,1.000,policy_006_4db717c6ec,0.270673371768,1.645,1.525,1.734,1.084,1.366,1.357,0.783 (sparse_nvfp4),0.3660,1.529,0.882 (sparse_nvfp4),0.3362,maxspeed_002_1556299ab3,0.530133636441
b256_in512_out16,256,512,16,1.000,policy_006_4db717c6ec,0.270673371768,1.691,1.563,1.732,1.082,1.388,1.394,0.805 (sparse_nvfp4),0.3660,1.570,0.906 (sparse_nvfp4),0.3362,maxspeed_002_1556299ab3,0.530133636441
b64_in512_out16,64,512,16,1.000,policy_007_f74a83b67c,0.267033012553,1.619,1.636,1.713,1.139,1.453,1.717,1.002 (sparse_nvfp4),0.4266,1.959,1.143 (sparse_nvfp4),0.2884,maxspeed_005_4746310a30,0.81435225446
