scenario,family,policy,recommendation,e2e_ms,speedup,speed_source,arc_norm_pct,cnn_rougel,dsum_rougel,iwslt_bleu,delta_nll,task_status
"prefill-only (B=8, S=2048)",uniform,dense_bf16,baseline,1079.535860568285,1.0,measured 5-repeat closure,43.344709897610926,,,,,evaluated on ARC-Challenge (1172)
"prefill-only (B=8, S=2048)",ours,ours_point_004,,1062.2048489749432,1.0163160727519431,measured 5-repeat closure,43.25938566552901,,,,,evaluated on ARC-Challenge (1172)
"prefill-only (B=8, S=2048)",uniform,marlin_nvfp4,,1034.9917970597744,1.0430380836206163,measured 5-repeat closure,42.83276450511945,,,,,evaluated on ARC-Challenge (1172)
"prefill-only (B=8, S=2048)",ours,ours_point_006,,1005.5912267416716,1.073533491403072,measured 5-repeat closure,43.1740614334471,,,,,evaluated on ARC-Challenge (1172)
"prefill-only (B=8, S=2048)",ours,ours_point_008,recommended: high-quality,890.0237809866667,1.2129292313645015,measured 5-repeat closure,43.344709897610926,,,,,evaluated on ARC-Challenge (1172)
"prefill-only (B=8, S=2048)",ours,ours_point_009,,791.9294498860836,1.3631717581958502,measured 5-repeat closure,43.08873720136519,,,,,evaluated on ARC-Challenge (1172)
"prefill-only (B=8, S=2048)",uniform,sparse_bf16,,660.948358476162,1.6333134755901206,measured 5-repeat closure,35.32423208191126,,,,,evaluated on ARC-Challenge (1172)
"prefill-only (B=8, S=2048)",ours,ours_point_011,,660.3359412401915,1.6348282641420138,measured 5-repeat closure,44.027303754266214,,,,,evaluated on ARC-Challenge (1172)
"prefill-only (B=8, S=2048)",ours,ours_point_012,recommended: primary balanced,625.4506222903728,1.7260129290703587,measured 5-repeat closure,44.19795221843004,,,,,evaluated on ARC-Challenge (1172)
"prefill-only (B=8, S=2048)",ours,ours_point_013,recommended: dense-NVFP4 cover,596.0017088800669,1.8112965860396877,measured 5-repeat closure,43.430034129692835,,,,,evaluated on ARC-Challenge (1172)
"prefill-only (B=8, S=2048)",uniform,dense_nvfp4,,578.1633891165257,1.8671812862759984,measured 5-repeat closure,42.83276450511945,,,,,evaluated on ARC-Challenge (1172)
"prefill-only (B=8, S=2048)",ours,ours_point_015,,552.7410674840212,1.9530588987754063,measured 5-repeat closure,32.33788395904437,,,,,evaluated on ARC-Challenge (1172)
"prefill-only (B=8, S=2048)",ours,ours_point_016,recommended: max-speed endpoint,528.4375622868538,2.0428825231433425,measured 5-repeat closure,28.071672354948806,,,,,evaluated on ARC-Challenge (1172)
