batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
16,74754.50462847948,2048,0,ours_max_speed,1,ttft,prefill_decode,True
16,56307.88258835673,2048,1,ours_max_speed,1,ttft,prefill_decode,False
16,61944.023322314024,2048,2,ours_max_speed,1,ttft,prefill_decode,False
16,64223.35967421532,2048,3,ours_max_speed,1,ttft,prefill_decode,False
16,55196.804543957114,2048,4,ours_max_speed,1,ttft,prefill_decode,False
16,1399.6171541512012,2048,5,ours_max_speed,1,ttft,prefill_decode,False
16,1629.4964421540499,2048,6,ours_max_speed,1,ttft,prefill_decode,False
16,1397.0755562186241,2048,7,ours_max_speed,1,ttft,prefill_decode,False
16,1403.489151969552,2048,8,ours_max_speed,1,ttft,prefill_decode,False
16,1398.439347743988,2048,9,ours_max_speed,1,ttft,prefill_decode,False
16,1339.5888321101665,2048,10,ours_max_speed,1,ttft,prefill_decode,False
16,2391.8956499546766,2048,0,ours_max_speed,80,main,prefill_decode,True
16,2175.5477525293827,2048,1,ours_max_speed,80,main,prefill_decode,False
16,2538.8525296002626,2048,2,ours_max_speed,80,main,prefill_decode,False
16,2521.159064024687,2048,3,ours_max_speed,80,main,prefill_decode,False
16,2645.5373410135508,2048,4,ours_max_speed,80,main,prefill_decode,False
16,2564.7559743374586,2048,5,ours_max_speed,80,main,prefill_decode,False
16,2765.3378043323755,2048,6,ours_max_speed,80,main,prefill_decode,False
16,2534.699970856309,2048,7,ours_max_speed,80,main,prefill_decode,False
16,2539.6153032779694,2048,8,ours_max_speed,80,main,prefill_decode,False
16,2661.4939868450165,2048,9,ours_max_speed,80,main,prefill_decode,False
16,2533.0300014466047,2048,10,ours_max_speed,80,main,prefill_decode,False
