model,method,top1_percent,compression_ratio,speedup
maxvit_tiny,dense,83.440000,1.000000,1.000000
maxvit_tiny,nvfp4,83.290000,3.954341,1.047339
maxvit_tiny,unstructured_sparse,74.876000,1.819133,NA
maxvit_tiny,semi_structured_sparse,63.826000,1.819133,1.713521
maxvit_tiny,nvfp4_unstructured_sparse,74.096000,5.439104,NA
maxvit_tiny,nvfp4_semi_structured_sparse,70.894000,4.423203,1.074655
maxvit_small,dense,84.456000,1.000000,1.000000
maxvit_small,nvfp4,84.332000,3.981629,1.235696
maxvit_small,unstructured_sparse,77.542000,1.833421,NA
maxvit_small,semi_structured_sparse,72.340000,1.833421,1.860977
maxvit_small,nvfp4_unstructured_sparse,77.160000,5.678951,NA
maxvit_small,nvfp4_semi_structured_sparse,78.302000,4.462033,1.266591
maxvit_base,dense,84.128000,1.000000,1.000000
maxvit_base,nvfp4,84.826000,3.988324,1.184029
maxvit_base,unstructured_sparse,80.544000,1.849994,NA
maxvit_base,semi_structured_sparse,75.240000,1.849994,1.911737
maxvit_base,nvfp4_unstructured_sparse,80.186000,5.979682,NA
maxvit_base,nvfp4_semi_structured_sparse,79.710000,4.470714,1.199944
maxvit_large,dense,88.050000,1.000000,1.000000
maxvit_large,nvfp4,88.022000,4.013028,1.260083
maxvit_large,unstructured_sparse,85.550000,1.851073,NA
maxvit_large,semi_structured_sparse,81.188000,1.851073,1.983330
maxvit_large,nvfp4_unstructured_sparse,85.284000,6.000169,NA
maxvit_large,nvfp4_semi_structured_sparse,79.828000,4.505560,1.295343
dinov3_vit7b16,dense,88.048000,1.000000,1.000000
dinov3_vit7b16,nvfp4,88.146000,7.074553,5.800468
dinov3_vit7b16,unstructured_sparse,87.614000,1.996040,NA
dinov3_vit7b16,semi_structured_sparse,87.214000,1.996040,5.502590
dinov3_vit7b16,nvfp4_unstructured_sparse,87.638000,10.465932,NA
dinov3_vit7b16,nvfp4_semi_structured_sparse,84.546000,9.768200,6.200738
dinov3_vit7b16,nvfp4_4over6_unstructured_sparse,87.614000,10.465932,NA
dinov3_vit7b16,nvfp4_4over6_semi_structured_sparse,84.920000,12.507174,NA
