model,method,batch_size,latency_mean_ms,images_per_sec,dense_images_per_sec,speedup,source_csv
DINOv3,Dense NVFP4,1,38.093,26.251,9.421,2.786,artifacts/results/dinov3_vit7b16_cutlass_nvfp4/speed.csv
DINOv3,Dense NVFP4,2,40.877,48.927,12.790,3.825,artifacts/results/dinov3_vit7b16_cutlass_nvfp4/speed.csv
DINOv3,Dense NVFP4,4,56.138,71.253,13.345,5.339,artifacts/results/dinov3_vit7b16_cutlass_nvfp4/speed.csv
DINOv3,Dense NVFP4,8,97.864,81.746,14.093,5.800,artifacts/results/dinov3_vit7b16_cutlass_nvfp4/speed.csv
DINOv3,Dense NVFP4,16,204.862,78.101,14.328,5.451,artifacts/results/dinov3_vit7b16_cutlass_nvfp4/speed.csv
DINOv3,Dense NVFP4,32,476.797,67.115,14.657,4.579,artifacts/results/dinov3_vit7b16_cutlass_nvfp4/speed.csv
DINOv3,Dense NVFP4,64,964.858,66.331,14.844,4.469,artifacts/results/dinov3_vit7b16_cutlass_nvfp4/speed.csv
DINOv3,Dense NVFP4,128,1921.438,66.617,14.967,4.451,artifacts/results/dinov3_vit7b16_cutlass_nvfp4/speed.csv
DINOv3,4:8 Sparse BF16,1,28.116,35.567,9.421,3.775,artifacts/results/dinov3_vit7b16_cutlass_sparse_bf16/speed.csv
DINOv3,4:8 Sparse BF16,2,32.132,62.243,12.790,4.867,artifacts/results/dinov3_vit7b16_cutlass_sparse_bf16/speed.csv
DINOv3,4:8 Sparse BF16,4,57.938,69.039,13.345,5.173,artifacts/results/dinov3_vit7b16_cutlass_sparse_bf16/speed.csv
DINOv3,4:8 Sparse BF16,8,103.161,77.548,14.093,5.503,artifacts/results/dinov3_vit7b16_cutlass_sparse_bf16/speed.csv
DINOv3,4:8 Sparse BF16,32,392.122,81.607,14.657,5.568,artifacts/results/dinov3_vit7b16_cutlass_sparse_bf16/speed.csv
DINOv3,4:8 Sparse BF16,64,785.771,81.449,14.844,5.487,artifacts/results/dinov3_vit7b16_cutlass_sparse_bf16/speed.csv
DINOv3,4:8 Sparse BF16,128,1539.712,83.132,14.967,5.554,artifacts/results/dinov3_vit7b16_cutlass_sparse_bf16/speed.csv
DINOv3,4:8 Sparse NVFP4,1,39.218,25.499,9.421,2.707,artifacts/results/dinov3_vit7b16_cutlass_sparse_nvfp4/speed_storage.csv
DINOv3,4:8 Sparse NVFP4,2,40.410,49.492,12.790,3.870,artifacts/results/dinov3_vit7b16_cutlass_sparse_nvfp4/speed_storage.csv
DINOv3,4:8 Sparse NVFP4,4,54.152,73.866,13.345,5.535,artifacts/results/dinov3_vit7b16_cutlass_sparse_nvfp4/speed_storage.csv
DINOv3,4:8 Sparse NVFP4,8,91.547,87.387,14.093,6.201,artifacts/results/dinov3_vit7b16_cutlass_sparse_nvfp4/speed_storage.csv
DINOv3,4:8 Sparse NVFP4,16,190.819,83.849,14.328,5.852,artifacts/results/dinov3_vit7b16_cutlass_sparse_nvfp4/speed_storage.csv
DINOv3,4:8 Sparse NVFP4,32,433.216,73.866,14.657,5.040,artifacts/results/dinov3_vit7b16_cutlass_sparse_nvfp4/speed_storage.csv
DINOv3,4:8 Sparse NVFP4,64,878.450,72.856,14.844,4.908,artifacts/results/dinov3_vit7b16_cutlass_sparse_nvfp4/speed_storage.csv
DINOv3,4:8 Sparse NVFP4,128,1747.917,73.230,14.967,4.893,artifacts/results/dinov3_vit7b16_cutlass_sparse_nvfp4/speed_storage.csv
