model,method,batch_size,latency_mean_ms,images_per_sec,dense_images_per_sec,speedup,runtime_dtype,source_csv
Tiny,Dense NVFP4,128,85.483,1497.377,1429.696,1.047,bfloat16,artifacts/results/maxvit_tiny_cutlass_nvfp4/speed.csv
Tiny,4:8 Sparse BF16,128,52.249,2449.814,1429.696,1.714,bfloat16,artifacts/results/maxvit_tiny_cutlass_sparse_bf16/speed.csv
Tiny,4:8 Sparse NVFP4,128,83.310,1536.430,1429.696,1.075,bfloat16,artifacts/results/maxvit_tiny_cutlass_sparse_nvfp4/speed.csv
Small,Dense NVFP4,128,118.125,1083.594,876.910,1.236,bfloat16,artifacts/results/maxvit_small_cutlass_nvfp4/speed.csv
Small,4:8 Sparse BF16,128,78.436,1631.909,876.910,1.861,bfloat16,artifacts/results/maxvit_small_cutlass_sparse_bf16/speed.csv
Small,4:8 Sparse NVFP4,128,115.244,1110.686,876.910,1.267,bfloat16,artifacts/results/maxvit_small_cutlass_sparse_nvfp4/speed.csv
Base,Dense NVFP4,128,216.522,591.163,499.281,1.184,bfloat16,artifacts/results/maxvit_base_cutlass_nvfp4/speed.csv
Base,4:8 Sparse BF16,128,134.102,954.494,499.281,1.912,bfloat16,artifacts/results/maxvit_base_cutlass_sparse_bf16/speed.csv
Base,4:8 Sparse NVFP4,128,213.651,599.109,499.281,1.200,bfloat16,artifacts/results/maxvit_base_cutlass_sparse_nvfp4/speed.csv
Large,Dense NVFP4,16,208.341,76.797,60.946,1.260,bfloat16,artifacts/results/maxvit_large_cutlass_nvfp4/speed.csv
Large,4:8 Sparse BF16,16,132.367,120.876,60.946,1.983,bfloat16,artifacts/results/maxvit_large_cutlass_sparse_bf16/speed.csv
Large,4:8 Sparse NVFP4,16,202.670,78.946,60.946,1.295,bfloat16,artifacts/results/maxvit_large_cutlass_sparse_nvfp4/speed.csv
DINOv3,Dense NVFP4,8,97.864,81.746,14.093,5.800,bfloat16,artifacts/results/dinov3_vit7b16_cutlass_nvfp4/speed.csv
DINOv3,4:8 Sparse BF16,8,103.161,77.548,14.093,5.503,bfloat16,artifacts/results/dinov3_vit7b16_cutlass_sparse_bf16/speed.csv
DINOv3,4:8 Sparse NVFP4,8,91.547,87.387,14.093,6.201,bfloat16,artifacts/results/dinov3_vit7b16_cutlass_sparse_nvfp4/speed_storage.csv
