candidate,prefill_backend,decode_backend,supported,reason,prefill_ms,decode_ms,total_ms,weighted_total_ms,online_conversion_ms,model,scenario,linear_group,n,k,count
dense_bf16,dense_bf16,dense_bf16,True,,6.464089584350586,1.6201600432395935,58.30921096801758,1865.8947509765626,0.0,Llama-2-7B,normal_01,mlp.down_proj,4096,11008,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,5.742937517166138,2.6889791220426558,91.79026942253113,2937.288621520996,0.0,Llama-2-7B,normal_01,mlp.down_proj,4096,11008,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,5.125049591064453,0.15177920162677766,9.981984043121338,319.4234893798828,0.0,Llama-2-7B,normal_01,mlp.down_proj,4096,11008,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,4.815430402755737,0.1690752014517784,10.225836849212646,327.2267791748047,0.0,Llama-2-7B,normal_01,mlp.down_proj,4096,11008,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,6.2401087284088135,0.036332800053060055,7.402758330106735,236.88826656341553,0.0,Llama-2-7B,normal_01,mlp.down_proj,4096,11008,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,5.130969667434693,0.10770239718258381,8.577446377277376,274.478284072876,0.0,Llama-2-7B,normal_01,mlp.down_proj,4096,11008,32
dense_bf16,dense_bf16,dense_bf16,True,,6.1474080085754395,0.07831679955124855,8.653545594215393,276.91345901489257,0.0,Llama-2-7B,normal_01,mlp.gate_proj,11008,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,5.721344065666199,2.549635273963213,87.30967283248901,2793.9095306396484,0.0,Llama-2-7B,normal_01,mlp.gate_proj,11008,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,2.7848927974700928,0.15081599950790406,7.611004781723023,243.55215301513672,0.0,Llama-2-7B,normal_01,mlp.gate_proj,11008,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,2.3368639945983887,0.18592639565467833,8.286508655548095,265.16827697753905,0.0,Llama-2-7B,normal_01,mlp.gate_proj,11008,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,6.499199962615966,0.035996800288558006,7.651097571849823,244.83512229919432,0.0,Llama-2-7B,normal_01,mlp.gate_proj,11008,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,2.837507176399231,0.14229440204799176,7.390928041934967,236.50969734191895,0.0,Llama-2-7B,normal_01,mlp.gate_proj,11008,4096,32
dense_bf16,dense_bf16,dense_bf16,True,,6.172703981399536,0.07602560073137284,8.605523204803466,275.3767425537109,0.0,Llama-2-7B,normal_01,mlp.up_proj,11008,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,5.880358386039734,2.7027904860675336,92.3696539402008,2955.828926086426,0.0,Llama-2-7B,normal_01,mlp.up_proj,11008,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,2.794268751144409,0.1430848002433777,7.372982358932495,235.93543548583983,0.0,Llama-2-7B,normal_01,mlp.up_proj,11008,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,2.337110424041748,0.18347200006246567,8.20821442604065,262.6628616333008,0.0,Llama-2-7B,normal_01,mlp.up_proj,11008,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,6.499926376342773,0.03135039992630482,7.503139173984527,240.10045356750487,0.0,Llama-2-7B,normal_01,mlp.up_proj,11008,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,2.8059807777404786,0.10615359917283058,6.202895951271057,198.49267044067383,0.0,Llama-2-7B,normal_01,mlp.up_proj,11008,4096,32
dense_bf16,dense_bf16,dense_bf16,True,,2.4502559661865235,0.05288960076868534,4.142723190784454,132.56714210510253,0.0,Llama-2-7B,normal_01,self_attn.k_proj,4096,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,3.775161623954773,2.575833674520254,86.2018392086029,2758.458854675293,0.0,Llama-2-7B,normal_01,self_attn.k_proj,4096,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,1.9984384059906006,0.13241280019283294,6.2356480121612545,199.54073638916014,0.0,Llama-2-7B,normal_01,self_attn.k_proj,4096,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,1.840393590927124,0.1683807998895645,7.228579187393188,231.314533996582,0.0,Llama-2-7B,normal_01,self_attn.k_proj,4096,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,2.384710431098938,0.03390399999916553,3.469638431072235,111.02842979431152,0.0,Llama-2-7B,normal_01,self_attn.k_proj,4096,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,2.0034176230430605,0.10820479989051819,5.465971219539643,174.91107902526858,0.0,Llama-2-7B,normal_01,self_attn.k_proj,4096,4096,32
dense_bf16,dense_bf16,dense_bf16,True,,2.907718372344971,0.04151680059731007,4.2362559914588935,135.5601917266846,0.0,Llama-2-7B,normal_01,self_attn.o_proj,4096,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,13.784447693824768,5.718208089470863,196.7671065568924,6296.547409820557,0.0,Llama-2-7B,normal_01,self_attn.o_proj,4096,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,2.0000928163528444,0.13438080102205277,6.300278449058533,201.60891036987306,0.0,Llama-2-7B,normal_01,self_attn.o_proj,4096,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,1.8397664070129394,0.1668384000658989,7.1785952091217045,229.71504669189454,0.0,Llama-2-7B,normal_01,self_attn.o_proj,4096,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,2.3850175619125364,0.030371200107038022,3.356895965337753,107.4206708908081,0.0,Llama-2-7B,normal_01,self_attn.o_proj,4096,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,2.004912006855011,0.10324160121381283,5.308643245697022,169.8765838623047,0.0,Llama-2-7B,normal_01,self_attn.o_proj,4096,4096,32
dense_bf16,dense_bf16,dense_bf16,True,,2.452668786048889,0.041894400119781496,3.793289589881897,121.3852668762207,0.0,Llama-2-7B,normal_01,self_attn.q_proj,4096,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,3.916015923023224,2.575827131420374,86.34248412847519,2762.959492111206,0.0,Llama-2-7B,normal_01,self_attn.q_proj,4096,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,1.9965183973312377,0.1344127982854843,6.297727942466736,201.52729415893555,0.0,Llama-2-7B,normal_01,self_attn.q_proj,4096,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,1.834822380542755,0.16638399809598922,7.15911031961441,229.0915302276611,0.0,Llama-2-7B,normal_01,self_attn.q_proj,4096,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,2.3850943803787232,0.030304000526666642,3.3548223972320557,107.35431671142578,0.0,Llama-2-7B,normal_01,self_attn.q_proj,4096,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,2.0012767910957336,0.10215360186994075,5.270192050933838,168.64614562988282,0.0,Llama-2-7B,normal_01,self_attn.q_proj,4096,4096,32
dense_bf16,dense_bf16,dense_bf16,True,,2.4533504009246827,0.04221439994871616,3.8042111992836,121.7347583770752,0.0,Llama-2-7B,normal_01,self_attn.v_proj,4096,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,3.7794848442077638,2.5916416123509407,86.71201643943786,2774.7845260620115,0.0,Llama-2-7B,normal_01,self_attn.v_proj,4096,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,1.997430431842804,0.13124160021543502,6.197161638736724,198.30917243957518,0.0,Llama-2-7B,normal_01,self_attn.v_proj,4096,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,1.840505588054657,0.16714559942483903,7.189164769649506,230.05327262878419,0.0,Llama-2-7B,normal_01,self_attn.v_proj,4096,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,2.383718395233154,0.029248000122606754,3.3196543991565703,106.22894077301025,0.0,Llama-2-7B,normal_01,self_attn.v_proj,4096,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,2.0039007902145385,0.10280000157654286,5.29350084066391,169.39202690124512,0.0,Llama-2-7B,normal_01,self_attn.v_proj,4096,4096,32
