model,scenario,linear_group,n,k,count,prefill_backend,decode_backend,prefill_ms,decode_ms,conversion_ms,weighted_total_ms
Qwen3.5-9B,normal_01,linear_attn.in_proj_a,32,4096,24,dense_bf16,dense_bf16,0.22523519843816758,0.7131181292468682,0.0,61.753745570033786
Qwen3.5-9B,normal_01,linear_attn.in_proj_b,32,4096,24,dense_bf16,dense_bf16,0.21794880032539368,0.03676939989672973,0.0,32.68855998851359
Qwen3.5-9B,normal_01,linear_attn.in_proj_qkv,8192,4096,24,dense_nvfp4,marlin_nvfp4,2.4831519603729246,0.08981419883202763,0.0,130.17922616600993
Qwen3.5-9B,normal_01,linear_attn.in_proj_z,4096,4096,24,marlin_nvfp4,marlin_nvfp4,2.3892735958099367,0.04526989945443347,0.0,89.97493407763541
Qwen3.5-9B,normal_01,linear_attn.out_proj,4096,4096,24,marlin_nvfp4,marlin_nvfp4,2.3878304243087767,0.03978099995292723,0.0,87.52960370332002
Qwen3.5-9B,normal_01,mlp.down_proj,4096,12288,32,marlin_nvfp4,marlin_nvfp4,6.953510427474976,0.042121600033715366,0.0,265.00102487951517
Qwen3.5-9B,normal_01,mlp.gate_proj,12288,4096,32,dense_nvfp4,marlin_nvfp4,2.957107186317444,0.08407840048894286,0.0,189.18440923690795
Qwen3.5-9B,normal_01,mlp.up_proj,12288,4096,32,dense_nvfp4,marlin_nvfp4,2.9614783763885497,0.08622850092360751,0.0,190.65190492868425
Qwen3.5-9B,normal_01,self_attn.k_proj,1024,4096,8,marlin_nvfp4,marlin_nvfp4,0.6362655997276306,0.039893199584912505,0.0,15.232259073480964
Qwen3.5-9B,normal_01,self_attn.o_proj,4096,4096,8,marlin_nvfp4,marlin_nvfp4,2.3895871877670287,0.041436000191606585,0.0,29.615782476216555
Qwen3.5-9B,normal_01,self_attn.q_proj,8192,4096,8,dense_nvfp4,marlin_nvfp4,2.4845120191574095,0.08454239848069847,0.0,41.76829460859299
Qwen3.5-9B,normal_01,self_attn.v_proj,1024,4096,8,marlin_nvfp4,marlin_nvfp4,0.6358112037181854,0.040067800239194186,0.0,15.248342511430383
Qwen3.5-9B,normal_01,__TOTAL__,,,,,,,,,1148.8280872203409
