candidate,prefill_backend,decode_backend,supported,reason,prefill_ms,decode_ms,total_ms,weighted_total_ms,online_conversion_ms,model,scenario,linear_group,n,k,count
dense_bf16,dense_bf16,dense_bf16,True,,8.674656009674072,0.0,8.674656009674072,277.5889923095703,0.0,Llama-3.1-8B,prefill_only,mlp.down_proj,4096,14336,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,7.838956689834594,0.0,7.838956689834594,250.84661407470702,0.0,Llama-3.1-8B,prefill_only,mlp.down_proj,4096,14336,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,6.682409620285034,0.0,6.682409620285034,213.83710784912108,0.0,Llama-3.1-8B,prefill_only,mlp.down_proj,4096,14336,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,6.292758417129517,0.0,6.292758417129517,201.36826934814454,0.0,Llama-3.1-8B,prefill_only,mlp.down_proj,4096,14336,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,8.083920192718505,0.0,8.083920192718505,258.68544616699216,0.0,Llama-3.1-8B,prefill_only,mlp.down_proj,4096,14336,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,6.683238410949707,0.0,6.683238410949707,213.86362915039064,0.0,Llama-3.1-8B,prefill_only,mlp.down_proj,4096,14336,32
dense_bf16,dense_bf16,dense_bf16,True,,8.06714563369751,0.0,8.06714563369751,258.14866027832034,0.0,Llama-3.1-8B,prefill_only,mlp.gate_proj,14336,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,7.824851369857788,0.0,7.824851369857788,250.3952438354492,0.0,Llama-3.1-8B,prefill_only,mlp.gate_proj,14336,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,3.206118416786194,0.0,3.206118416786194,102.59578933715821,0.0,Llama-3.1-8B,prefill_only,mlp.gate_proj,14336,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,2.6227295875549315,0.0,2.6227295875549315,83.9273468017578,0.0,Llama-3.1-8B,prefill_only,mlp.gate_proj,14336,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,8.412550354003907,0.0,8.412550354003907,269.201611328125,0.0,Llama-3.1-8B,prefill_only,mlp.gate_proj,14336,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,3.232572817802429,0.0,3.232572817802429,103.44233016967773,0.0,Llama-3.1-8B,prefill_only,mlp.gate_proj,14336,4096,32
dense_bf16,dense_bf16,dense_bf16,True,,8.048889684677125,0.0,8.048889684677125,257.564469909668,0.0,Llama-3.1-8B,prefill_only,mlp.up_proj,14336,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,7.970473670959473,0.0,7.970473670959473,255.05515747070314,0.0,Llama-3.1-8B,prefill_only,mlp.up_proj,14336,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,3.2234336137771606,0.0,3.2234336137771606,103.14987564086914,0.0,Llama-3.1-8B,prefill_only,mlp.up_proj,14336,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,2.6263168096542358,0.0,2.6263168096542358,84.04213790893554,0.0,Llama-3.1-8B,prefill_only,mlp.up_proj,14336,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,8.408729648590088,0.0,8.408729648590088,269.0793487548828,0.0,Llama-3.1-8B,prefill_only,mlp.up_proj,14336,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,3.231718397140503,0.0,3.231718397140503,103.4149887084961,0.0,Llama-3.1-8B,prefill_only,mlp.up_proj,14336,4096,32
dense_bf16,dense_bf16,dense_bf16,True,,0.7766431987285614,0.0,0.7766431987285614,24.852582359313963,0.0,Llama-3.1-8B,prefill_only,self_attn.k_proj,1024,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,4.013587164878845,0.0,4.013587164878845,128.43478927612304,0.0,Llama-3.1-8B,prefill_only,self_attn.k_proj,1024,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,1.6690368056297302,0.0,1.6690368056297302,53.40917778015137,0.0,Llama-3.1-8B,prefill_only,self_attn.k_proj,1024,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,1.628444790840149,0.0,1.628444790840149,52.110233306884766,0.0,Llama-3.1-8B,prefill_only,self_attn.k_proj,1024,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,0.6376192033290863,0.0,0.6376192033290863,20.40381450653076,0.0,Llama-3.1-8B,prefill_only,self_attn.k_proj,1024,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,1.6757695913314818,0.0,1.6757695913314818,53.62462692260742,0.0,Llama-3.1-8B,prefill_only,self_attn.k_proj,1024,4096,32
dense_bf16,dense_bf16,dense_bf16,True,,2.4713728189468385,0.0,2.4713728189468385,79.08393020629883,0.0,Llama-3.1-8B,prefill_only,self_attn.o_proj,4096,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,4.971843016147614,0.0,4.971843016147614,159.09897651672364,0.0,Llama-3.1-8B,prefill_only,self_attn.o_proj,4096,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,2.0247520089149473,0.0,2.0247520089149473,64.79206428527831,0.0,Llama-3.1-8B,prefill_only,self_attn.o_proj,4096,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,1.8718719959259034,0.0,1.8718719959259034,59.89990386962891,0.0,Llama-3.1-8B,prefill_only,self_attn.o_proj,4096,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,2.3930239915847777,0.0,2.3930239915847777,76.57676773071289,0.0,Llama-3.1-8B,prefill_only,self_attn.o_proj,4096,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,2.0377823948860168,0.0,2.0377823948860168,65.20903663635254,0.0,Llama-3.1-8B,prefill_only,self_attn.o_proj,4096,4096,32
dense_bf16,dense_bf16,dense_bf16,True,,2.4742432117462156,0.0,2.4742432117462156,79.1757827758789,0.0,Llama-3.1-8B,prefill_only,self_attn.q_proj,4096,4096,32
