model,scenario,linear_group,n,k,count,prefill_backend,decode_backend,prefill_ms,decode_ms,conversion_ms,weighted_total_ms
Qwen3.5-9B,prefill_only,linear_attn.in_proj_a,32,4096,24,dense_bf16,dense_bf16,0.2275744006037712,0.0,0.0,5.461785614490509
Qwen3.5-9B,prefill_only,linear_attn.in_proj_b,32,4096,24,dense_bf16,dense_bf16,0.22092479914426805,0.0,0.0,5.302195179462434
Qwen3.5-9B,prefill_only,linear_attn.in_proj_qkv,8192,4096,24,sparse_nvfp4,sparse_nvfp4,2.145641589164734,0.0,0.0,51.49539813995361
Qwen3.5-9B,prefill_only,linear_attn.in_proj_z,4096,4096,24,sparse_nvfp4,sparse_nvfp4,1.8744224071502686,0.0,0.0,44.98613777160645
Qwen3.5-9B,prefill_only,linear_attn.out_proj,4096,4096,24,sparse_nvfp4,sparse_nvfp4,1.8721472024917603,0.0,0.0,44.931532859802246
Qwen3.5-9B,prefill_only,mlp.down_proj,4096,12288,32,sparse_nvfp4,sparse_nvfp4,5.4398784160614015,0.0,0.0,174.07610931396485
Qwen3.5-9B,prefill_only,mlp.gate_proj,12288,4096,32,sparse_nvfp4,sparse_nvfp4,2.4575807571411135,0.0,0.0,78.64258422851563
Qwen3.5-9B,prefill_only,mlp.up_proj,12288,4096,32,sparse_nvfp4,sparse_nvfp4,2.4595904111862184,0.0,0.0,78.70689315795899
Qwen3.5-9B,prefill_only,self_attn.k_proj,1024,4096,8,marlin_nvfp4,marlin_nvfp4,0.6395072102546692,0.0,0.0,5.116057682037353
Qwen3.5-9B,prefill_only,self_attn.o_proj,4096,4096,8,sparse_nvfp4,sparse_nvfp4,1.874454402923584,0.0,0.0,14.995635223388671
Qwen3.5-9B,prefill_only,self_attn.q_proj,8192,4096,8,sparse_nvfp4,sparse_nvfp4,2.1515328168869017,0.0,0.0,17.212262535095213
Qwen3.5-9B,prefill_only,self_attn.v_proj,1024,4096,8,marlin_nvfp4,marlin_nvfp4,0.6399327993392945,0.0,0.0,5.119462394714356
Qwen3.5-9B,prefill_only,__TOTAL__,,,,,,,,,526.0460541009903
