name,n,k,count,selected_prefill_backend,selected_decode_backend,selected_total_ms,selected_prefill_ms,selected_decode_ms,selected_conversion_ms,reason
linear_attn.in_proj_a,32,4096,24,dense_bf16,dense_bf16,5.461785614490509,0.2275744006037712,0.0,0.0,
linear_attn.in_proj_b,32,4096,24,dense_bf16,dense_bf16,5.302195179462434,0.22092479914426805,0.0,0.0,
linear_attn.in_proj_qkv,8192,4096,24,sparse_nvfp4,sparse_nvfp4,51.49539813995361,2.145641589164734,0.0,0.0,
linear_attn.in_proj_z,4096,4096,24,sparse_nvfp4,sparse_nvfp4,44.98613777160645,1.8744224071502686,0.0,0.0,
linear_attn.out_proj,4096,4096,24,sparse_nvfp4,sparse_nvfp4,44.931532859802246,1.8721472024917603,0.0,0.0,
mlp.down_proj,4096,12288,32,sparse_nvfp4,sparse_nvfp4,174.07610931396485,5.4398784160614015,0.0,0.0,
mlp.gate_proj,12288,4096,32,sparse_nvfp4,sparse_nvfp4,78.64258422851563,2.4575807571411135,0.0,0.0,
mlp.up_proj,12288,4096,32,sparse_nvfp4,sparse_nvfp4,78.70689315795899,2.4595904111862184,0.0,0.0,
self_attn.k_proj,1024,4096,8,marlin_nvfp4,marlin_nvfp4,5.116057682037353,0.6395072102546692,0.0,0.0,
self_attn.o_proj,4096,4096,8,sparse_nvfp4,sparse_nvfp4,14.995635223388671,1.874454402923584,0.0,0.0,
self_attn.q_proj,8192,4096,8,sparse_nvfp4,sparse_nvfp4,17.212262535095213,2.1515328168869017,0.0,0.0,
self_attn.v_proj,1024,4096,8,marlin_nvfp4,marlin_nvfp4,5.119462394714356,0.6399327993392945,0.0,0.0,
