candidate,prefill_backend,decode_backend,supported,reason,prefill_ms,decode_ms,total_ms,weighted_total_ms,online_conversion_ms,model,scenario,linear_group,n,k,count,used_fallback
dense_bf16,dense_bf16,dense_bf16,True,,0.22578880041837693,0.0,0.22578880041837693,5.4189312100410465,0.0,Qwen3.5-9B,prefill_only,linear_attn.in_proj_a,32,4096,24,False
dense_bf16,dense_bf16,dense_bf16,True,,0.22016960084438325,0.0,0.22016960084438325,5.2840704202651985,0.0,Qwen3.5-9B,prefill_only,linear_attn.in_proj_b,32,4096,24,False
dense_bf16,dense_bf16,dense_bf16,True,,4.698880004882812,0.0,4.698880004882812,112.77312011718749,0.0,Qwen3.5-9B,prefill_only,linear_attn.in_proj_qkv,8192,4096,24,False
dense_bf16,dense_bf16,dense_bf16,True,,2.47215678691864,0.0,2.47215678691864,59.33176288604736,0.0,Qwen3.5-9B,prefill_only,linear_attn.in_proj_z,4096,4096,24,False
dense_bf16,dense_bf16,dense_bf16,True,,2.464140796661377,0.0,2.464140796661377,59.13937911987304,0.0,Qwen3.5-9B,prefill_only,linear_attn.out_proj,4096,4096,24,False
dense_bf16,dense_bf16,dense_bf16,True,,7.201430416107177,0.0,7.201430416107177,230.44577331542968,0.0,Qwen3.5-9B,prefill_only,mlp.down_proj,4096,12288,32,False
dense_bf16,dense_bf16,dense_bf16,True,,6.926153612136841,0.0,6.926153612136841,221.6369155883789,0.0,Qwen3.5-9B,prefill_only,mlp.gate_proj,12288,4096,32,False
dense_bf16,dense_bf16,dense_bf16,True,,6.931872034072876,0.0,6.931872034072876,221.81990509033204,0.0,Qwen3.5-9B,prefill_only,mlp.up_proj,12288,4096,32,False
dense_bf16,dense_bf16,dense_bf16,True,,0.7743071973323822,0.0,0.7743071973323822,6.194457578659057,0.0,Qwen3.5-9B,prefill_only,self_attn.k_proj,1024,4096,8,False
dense_bf16,dense_bf16,dense_bf16,True,,2.44824640750885,0.0,2.44824640750885,19.5859712600708,0.0,Qwen3.5-9B,prefill_only,self_attn.o_proj,4096,4096,8,False
dense_bf16,dense_bf16,dense_bf16,True,,4.6933568000793455,0.0,4.6933568000793455,37.546854400634764,0.0,Qwen3.5-9B,prefill_only,self_attn.q_proj,8192,4096,8,False
dense_bf16,dense_bf16,dense_bf16,True,,0.7716608047485352,0.0,0.7716608047485352,6.173286437988281,0.0,Qwen3.5-9B,prefill_only,self_attn.v_proj,1024,4096,8,False
dense_bf16,,,,,,,,985.3504274249076,,Qwen3.5-9B,prefill_only,__TOTAL__,,,,
