candidate,prefill_backend,decode_backend,supported,reason,prefill_ms,decode_ms,total_ms,weighted_total_ms,online_conversion_ms,fallback_backend,used_fallback,fallback_reason,model,scenario,linear_group,n,k,count
marlin_nvfp4,dense_bf16,dense_bf16,True,,0.22242240160703658,0.03801279999315739,1.438832001388073,34.53196803331375,0.0,dense_bf16,True,"ValueError:N/out_features must be divisible by 64 for Marlin NVFP4, got N=32",Qwen3.5-9B,normal_01,linear_attn.in_proj_a,32,4096,24
marlin_nvfp4,dense_bf16,dense_bf16,True,,0.2220992013812065,0.0379551999270916,1.4366655990481376,34.4799743771553,0.0,dense_bf16,True,"ValueError:N/out_features must be divisible by 64 for Marlin NVFP4, got N=32",Qwen3.5-9B,normal_01,linear_attn.in_proj_b,32,4096,24
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,4.886009645462036,0.04413119964301586,6.298208034038543,151.15699281692503,0.0,,False,,Qwen3.5-9B,normal_01,linear_attn.in_proj_qkv,8192,4096,24
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,2.3977952003479004,0.04331520050764084,3.7838816165924074,90.81315879821778,0.0,,False,,Qwen3.5-9B,normal_01,linear_attn.in_proj_z,4096,4096,24
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,2.39726402759552,0.043750399723649025,3.7972768187522887,91.13464365005493,0.0,,False,,Qwen3.5-9B,normal_01,linear_attn.out_proj,4096,4096,24
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,6.980879926681519,0.04336640015244484,8.368604731559754,267.79535140991214,0.0,,False,,Qwen3.5-9B,normal_01,mlp.down_proj,4096,12288,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,7.258035135269165,0.044463999941945075,8.680883133411408,277.78826026916505,0.0,,False,,Qwen3.5-9B,normal_01,mlp.gate_proj,12288,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,7.265737628936767,0.04369920007884502,8.664112031459808,277.25158500671387,0.0,,False,,Qwen3.5-9B,normal_01,mlp.up_proj,12288,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,0.636300802230835,0.04196800030767918,1.9792768120765687,15.83421449661255,0.0,,False,,Qwen3.5-9B,normal_01,self_attn.k_proj,1024,4096,8
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,2.4265535831451417,0.041305600106716155,3.7483327865600584,29.986662292480467,0.0,,False,,Qwen3.5-9B,normal_01,self_attn.o_proj,4096,4096,8
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,4.899139165878296,0.042288000136613844,6.252355170249939,50.01884136199951,0.0,,False,,Qwen3.5-9B,normal_01,self_attn.q_proj,8192,4096,8
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,0.6726207911968232,0.040489600226283076,1.9682879984378816,15.746303987503053,0.0,,False,,Qwen3.5-9B,normal_01,self_attn.v_proj,1024,4096,8
marlin_nvfp4,,,,,,,,1336.5379565000535,,,,,Qwen3.5-9B,normal_01,__TOTAL__,,,
