candidate,prefill_backend,decode_backend,supported,reason,prefill_ms,decode_ms,total_ms,weighted_total_ms,online_conversion_ms,model,scenario,linear_group,n,k,count,used_fallback
sparse_bf16,sparse_bf16,sparse_bf16,True,,2.6004831358790397,2.540492745488882,83.89625099152327,2013.5100237965585,0.0,Qwen3.5-9B,normal_01,linear_attn.in_proj_a,32,4096,24,False
sparse_bf16,sparse_bf16,sparse_bf16,True,,2.5344863906502724,2.4758943490684033,81.76310556083918,1962.3145334601404,0.0,Qwen3.5-9B,normal_01,linear_attn.in_proj_b,32,4096,24,False
sparse_bf16,sparse_bf16,sparse_bf16,True,,4.903663921356201,2.5064095340669157,85.1087690114975,2042.6104562759401,0.0,Qwen3.5-9B,normal_01,linear_attn.in_proj_qkv,8192,4096,24,False
sparse_bf16,sparse_bf16,sparse_bf16,True,,3.7320032715797424,2.490742391347885,83.43575979471207,2002.4582350730898,0.0,Qwen3.5-9B,normal_01,linear_attn.in_proj_z,4096,4096,24,False
sparse_bf16,sparse_bf16,sparse_bf16,True,,3.7385759234428404,2.484313616156578,83.23661164045333,1997.67867937088,0.0,Qwen3.5-9B,normal_01,linear_attn.out_proj,4096,4096,24,False
sparse_bf16,sparse_bf16,sparse_bf16,True,,6.051094365119934,2.5764511287212373,88.49753048419953,2831.920975494385,0.0,Qwen3.5-9B,normal_01,mlp.down_proj,4096,12288,32,False
sparse_bf16,sparse_bf16,sparse_bf16,True,,6.2042207479476925,2.481513577699661,85.61265523433684,2739.604967498779,0.0,Qwen3.5-9B,normal_01,mlp.gate_proj,12288,4096,32,False
sparse_bf16,sparse_bf16,sparse_bf16,True,,6.088412857055664,2.4904032826423643,85.78131790161132,2745.002172851562,0.0,Qwen3.5-9B,normal_01,mlp.up_proj,12288,4096,32,False
sparse_bf16,sparse_bf16,sparse_bf16,True,,3.055916818976402,2.7153631947934627,89.9475390523672,719.5803124189376,0.0,Qwen3.5-9B,normal_01,self_attn.k_proj,1024,4096,8,False
sparse_bf16,sparse_bf16,sparse_bf16,True,,3.744719898700714,2.6166367284953593,87.4770952105522,699.8167616844177,0.0,Qwen3.5-9B,normal_01,self_attn.o_proj,4096,4096,8,False
sparse_bf16,sparse_bf16,sparse_bf16,True,,4.907856035232544,2.49396797940135,84.71483137607574,677.7186510086059,0.0,Qwen3.5-9B,normal_01,self_attn.q_proj,8192,4096,8,False
sparse_bf16,sparse_bf16,sparse_bf16,True,,2.826086366176605,2.488745564967394,82.46594444513322,659.7275555610657,0.0,Qwen3.5-9B,normal_01,self_attn.v_proj,1024,4096,8,False
sparse_bf16,,,,,,,,21091.94332449436,,Qwen3.5-9B,normal_01,__TOTAL__,,,,
