method,model_variant,model_path,batch_size,input_tokens,output_tokens,multimodal,text_tokens,image_tokens,total_prefill_tokens,image_size,dtype,attn_implementation,input_mode,sampling,checkpoint_path,kernel_backend,nvfp4_block_size,nvfp4_backend,nvfp4_quant_backend,nvfp4_sf_layout,marlin_activation_dtype,replaced_linear_count,skipped_linear_count,compressed_module_count,packed_checkpoint_file_size_bytes,prefill_ms,decode_total_ms,first_decode_ms,decode_per_token_ms,tokens_per_sec,status
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,128,32,False,128,0,128,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,114.07241592407226,780.6129461288452,25.251827239990234,25.181062778349844,39.71238262666893,
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,128,128,False,128,0,128,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,91.43220977783203,2585.9374656677246,20.517017555236816,20.36171232809232,49.111783129375425,
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,512,32,False,512,0,512,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,110.81914825439453,627.6796998977661,20.313884735107422,20.24773225476665,49.38824691167988,
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,512,128,False,512,0,512,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,111.09594497680663,2585.1650310516357,20.43072643280029,20.35563016576091,49.12645748899708,
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,1024,32,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,137.31627044677734,629.1131494522094,20.426928329467774,20.2939725629745,49.27571459441401,
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,1024,128,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,137.35429992675782,2568.951942062378,20.390896034240722,20.22796804773526,49.43650284794477,
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,2048,32,False,2048,0,2048,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,188.7251754760742,626.4205720901489,20.334144020080565,20.207115228714482,49.48751905858346,
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,2048,128,False,2048,0,2048,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,189.51886901855468,2578.784859466553,20.48126049041748,20.305392594224823,49.248001256790076,
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,2,128,32,False,128,0,128,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,91.30778198242187,648.5805419921875,20.979900932312013,20.92195296748992,95.59337042329405,
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,2,128,128,False,128,0,128,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,91.68479919433594,2678.0953172683717,21.14408645629883,21.087364702900565,94.84352493438405,
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,2,512,32,False,512,0,512,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,112.30150680541992,651.1097818374634,21.14052505493164,21.003541349595594,95.22203740363567,
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,2,512,128,False,512,0,512,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,112.30868225097656,2668.571781539917,21.091049575805663,21.01237623259777,95.18200025836579,
