method,model_variant,model_path,batch_size,input_tokens,output_tokens,multimodal,text_tokens,image_tokens,total_prefill_tokens,image_size,dtype,attn_implementation,input_mode,sampling,checkpoint_path,kernel_backend,nvfp4_block_size,nvfp4_backend,nvfp4_quant_backend,nvfp4_sf_layout,marlin_activation_dtype,replaced_linear_count,skipped_linear_count,compressed_module_count,packed_checkpoint_file_size_bytes,prefill_ms,decode_total_ms,first_decode_ms,decode_per_token_ms,tokens_per_sec,status
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,128,32,False,128,0,128,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,128.30145187377929,1327.8683296203612,43.677276611328125,42.83446224581811,23.345688204539773,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,128,128,False,128,0,128,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,108.0903823852539,4676.8971904754635,36.88227424621582,36.82596212972806,27.154755562862587,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,512,32,False,512,0,512,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,127.23760375976562,1136.279372024536,36.74168701171875,36.65417329111407,27.2820230334434,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,512,128,False,512,0,512,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,127.49315490722657,4655.475132751465,36.770236587524415,36.65728450985405,27.279707522557608,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,1024,32,False,1024,0,1024,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,154.00039367675782,1130.43664894104,36.62705917358399,36.465698352936776,27.42303164802724,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,1024,128,False,1024,0,1024,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,154.00057525634764,4642.729201126099,36.63086128234863,36.55692284351259,27.354599955818234,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,2048,32,False,2048,0,2048,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,205.80597229003905,1128.5095474243165,36.425926208496094,36.40353378788117,27.469860641191445,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,2048,128,False,2048,0,2048,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,206.25908660888672,4630.26488647461,36.4626651763916,36.45877863365834,27.428236421414596,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,2,128,32,False,128,0,128,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,107.59599685668945,1148.1512237548827,37.10359077453613,37.03713625015751,53.99985534765784,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,2,128,128,False,128,0,128,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,107.95869140625,4701.456863021851,37.10350723266602,37.01934537812481,54.02580676593554,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,2,512,32,False,512,0,512,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,128.4391860961914,1149.4474197387694,37.103699111938475,37.07894902383128,53.938961395981465,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,2,512,128,False,512,0,512,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,128.69606170654296,4700.369552230835,37.082291793823245,37.01078387583335,54.03830426044894,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,2,1024,32,False,1024,0,1024,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,156.19976501464845,1146.4542446136475,37.0564453125,36.98239498753701,54.07978581900917,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,2,1024,128,False,1024,0,1024,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,156.15579376220703,4691.81155128479,37.08777923583985,36.94339804161252,54.13687170160223,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,2,2048,32,False,2048,0,2048,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,215.5211959838867,1154.8232021331787,37.22648582458496,37.252361359134795,53.68787177593434,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,2,2048,128,False,2048,0,2048,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,215.34066467285157,4710.758709335327,37.11454048156738,37.09258826248289,53.91912761242627,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,4,128,32,False,128,0,128,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,108.35971527099609,1150.0775337219238,37.16615982055664,37.099275281352384,107.8188177441451,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,4,128,128,False,128,0,128,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,108.31605377197266,4727.200564575195,37.294943237304686,37.22205168956847,107.46317890695438,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,4,512,32,False,512,0,512,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,131.35804748535156,1146.066203689575,37.07857551574707,36.969877538373396,108.19619285587692,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,4,512,128,False,512,0,512,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,131.7429641723633,4703.28346824646,37.165622329711915,37.03372809642882,108.00964973293418,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,4,1024,32,False,1024,0,1024,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,165.99269409179686,1150.6629756927491,37.26195182800293,37.11816050621771,107.76396096810764,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,4,1024,128,False,1024,0,1024,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,166.0300735473633,4725.677095031739,37.31399002075195,37.21005586639164,107.49782301758987,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,4,2048,32,False,2048,0,2048,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,257.0826477050781,1157.7024448394775,37.449270248413086,37.345240156112176,107.108696671357,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,4,2048,128,False,2048,0,2048,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,257.0238464355469,4732.278678512574,37.347740173339844,37.26203683868168,107.34786231137006,
dense_nvfp4,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,8,128,32,False,128,0,128,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/dense_nvfp4/model.pt,cutlass_nvfp4_sm120,16,cutlass_sm120,cutlass_sm120,cutlass_sm120,,150,36,150,1299062591,109.62045135498047,1150.6758907318115,37.135023498535155,37.11857712038102,215.52550287837866,
