method,model_variant,model_path,batch_size,input_tokens,output_tokens,multimodal,text_tokens,image_tokens,total_prefill_tokens,image_size,dtype,attn_implementation,input_mode,sampling,checkpoint_path,kernel_backend,nvfp4_block_size,nvfp4_backend,nvfp4_quant_backend,nvfp4_sf_layout,marlin_activation_dtype,replaced_linear_count,skipped_linear_count,compressed_module_count,packed_checkpoint_file_size_bytes,prefill_ms,decode_total_ms,first_decode_ms,decode_per_token_ms,tokens_per_sec,status
sparse_bf16,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,128,32,False,128,0,128,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/sparse_bf16/model.pt,cutlass_sparse_bf16_cusparselt,,,,,,186,0,186,1578308295,107.85050659179687,979.0569486618042,31.97171516418457,31.58248221489691,31.663122397906942,
sparse_bf16,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,128,128,False,128,0,128,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/sparse_bf16/model.pt,cutlass_sparse_bf16_cusparselt,,,,,,186,0,186,1578308295,90.20242919921876,3392.298667526245,26.930655860900877,26.711013130127913,37.4377413214656,
sparse_bf16,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,512,32,False,512,0,512,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/sparse_bf16/model.pt,cutlass_sparse_bf16_cusparselt,,,,,,186,0,186,1578308295,109.24570236206054,831.8168998718262,26.942994689941408,26.832803221671814,37.26781699767913,
sparse_bf16,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,512,128,False,512,0,512,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/sparse_bf16/model.pt,cutlass_sparse_bf16_cusparselt,,,,,,186,0,186,1578308295,108.8393768310547,3372.8100204467773,26.64786567687988,26.557559216116356,37.654062704420284,
sparse_bf16,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,1024,32,False,1024,0,1024,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/sparse_bf16/model.pt,cutlass_sparse_bf16_cusparselt,,,,,,186,0,186,1578308295,133.59038391113282,818.0757761001587,26.5480094909668,26.389541164521248,37.893800190221754,
sparse_bf16,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,1024,128,False,1024,0,1024,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/sparse_bf16/model.pt,cutlass_sparse_bf16_cusparselt,,,,,,186,0,186,1578308295,133.73125610351562,3343.3872760772706,26.504320335388183,26.325884063600554,37.98542900151447,
sparse_bf16,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,2048,32,False,2048,0,2048,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/sparse_bf16/model.pt,cutlass_sparse_bf16_cusparselt,,,,,,186,0,186,1578308295,183.30352630615235,825.6926094055176,26.77052459716797,26.635245464694115,37.54423819091634,
sparse_bf16,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,1,2048,128,False,2048,0,2048,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/sparse_bf16/model.pt,cutlass_sparse_bf16_cusparselt,,,,,,186,0,186,1578308295,183.0238067626953,3367.834250831604,26.640777587890625,26.518379927807906,37.7096942845808,
sparse_bf16,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,2,128,32,False,128,0,128,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/sparse_bf16/model.pt,cutlass_sparse_bf16_cusparselt,,,,,,186,0,186,1578308295,90.34522857666016,839.9693470001221,27.197840309143068,27.09578538710071,73.81221734034419,
sparse_bf16,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,2,128,128,False,128,0,128,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_0_8b/sparse_bf16/model.pt,cutlass_sparse_bf16_cusparselt,,,,,,186,0,186,1578308295,90.2467643737793,3416.1386684417726,26.97559986114502,26.89872967276986,74.35295362757005,
