method,model_variant,model_path,batch_size,input_tokens,output_tokens,multimodal,text_tokens,image_tokens,total_prefill_tokens,image_size,dtype,attn_implementation,input_mode,sampling,checkpoint_path,kernel_backend,nvfp4_block_size,nvfp4_backend,nvfp4_quant_backend,nvfp4_sf_layout,marlin_activation_dtype,replaced_linear_count,skipped_linear_count,compressed_module_count,packed_checkpoint_file_size_bytes,prefill_ms,decode_total_ms,first_decode_ms,decode_per_token_ms,tokens_per_sec,status
sparse_nvfp4,2B,/home/agent/wja/data/models/Qwen/Qwen3.5-2B,1,128,32,False,128,0,128,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_2b/sparse_nvfp4/model.pt,cutlass_sparse_nvfp4_sm120,32,cutlass_sparse_sm120,cutlass_sparse_sm120,cutlass_sparse_sm120,,186,0,186,2851428791,116.94743499755859,1463.5533145904542,47.89411029815674,47.21139724485336,21.181326085599228,
sparse_nvfp4,2B,/home/agent/wja/data/models/Qwen/Qwen3.5-2B,1,128,128,False,128,0,128,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_2b/sparse_nvfp4/model.pt,cutlass_sparse_nvfp4_sm120,32,cutlass_sparse_sm120,cutlass_sparse_sm120,cutlass_sparse_sm120,,186,0,186,2851428791,113.06883354187012,5861.914029693604,46.224761390686034,46.1568033834142,21.66527850061939,
sparse_nvfp4,2B,/home/agent/wja/data/models/Qwen/Qwen3.5-2B,1,512,32,False,512,0,512,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_2b/sparse_nvfp4/model.pt,cutlass_sparse_nvfp4_sm120,32,cutlass_sparse_sm120,cutlass_sparse_sm120,cutlass_sparse_sm120,,186,0,186,2851428791,133.69677352905273,1434.7873550415038,46.369737243652345,46.28346306585497,21.605989132168833,
sparse_nvfp4,2B,/home/agent/wja/data/models/Qwen/Qwen3.5-2B,1,512,128,False,512,0,512,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_2b/sparse_nvfp4/model.pt,cutlass_sparse_nvfp4_sm120,32,cutlass_sparse_sm120,cutlass_sparse_sm120,cutlass_sparse_sm120,,186,0,186,2851428791,133.7599967956543,5876.502762794495,46.56909942626953,46.27167529759445,21.61149328543952,
sparse_nvfp4,2B,/home/agent/wja/data/models/Qwen/Qwen3.5-2B,1,1024,32,False,1024,0,1024,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_2b/sparse_nvfp4/model.pt,cutlass_sparse_nvfp4_sm120,32,cutlass_sparse_sm120,cutlass_sparse_sm120,cutlass_sparse_sm120,,186,0,186,2851428791,160.74712829589845,1430.4857576370239,46.293006324768065,46.14470185925884,21.670960255632295,
sparse_nvfp4,2B,/home/agent/wja/data/models/Qwen/Qwen3.5-2B,1,1024,128,False,1024,0,1024,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_2b/sparse_nvfp4/model.pt,cutlass_sparse_nvfp4_sm120,32,cutlass_sparse_sm120,cutlass_sparse_sm120,cutlass_sparse_sm120,,186,0,186,2851428791,161.1379707336426,5844.542555427552,46.148203468322755,46.02002012147678,21.729673245695007,
sparse_nvfp4,2B,/home/agent/wja/data/models/Qwen/Qwen3.5-2B,1,2048,32,False,2048,0,2048,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_2b/sparse_nvfp4/model.pt,cutlass_sparse_nvfp4_sm120,32,cutlass_sparse_sm120,cutlass_sparse_sm120,cutlass_sparse_sm120,,186,0,186,2851428791,216.39095077514648,1433.09378490448,46.319167900085446,46.228831771112255,21.631522184060163,
sparse_nvfp4,2B,/home/agent/wja/data/models/Qwen/Qwen3.5-2B,1,2048,128,False,2048,0,2048,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_2b/sparse_nvfp4/model.pt,cutlass_sparse_nvfp4_sm120,32,cutlass_sparse_sm120,cutlass_sparse_sm120,cutlass_sparse_sm120,,186,0,186,2851428791,216.56985244750976,5869.848306274414,46.34442558288574,46.21927800216074,21.635993533980564,
sparse_nvfp4,2B,/home/agent/wja/data/models/Qwen/Qwen3.5-2B,1,8192,32,False,8192,0,8192,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_2b/sparse_nvfp4/model.pt,cutlass_sparse_nvfp4_sm120,32,cutlass_sparse_sm120,cutlass_sparse_sm120,cutlass_sparse_sm120,,186,0,186,2851428791,617.0290954589843,1428.714342689514,46.260146141052246,46.08755944159723,21.69782935169768,
sparse_nvfp4,2B,/home/agent/wja/data/models/Qwen/Qwen3.5-2B,1,8192,128,False,8192,0,8192,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_2b/sparse_nvfp4/model.pt,cutlass_sparse_nvfp4_sm120,32,cutlass_sparse_sm120,cutlass_sparse_sm120,cutlass_sparse_sm120,,186,0,186,2851428791,617.0698822021484,5852.345006179809,46.29792804718018,46.081456741573305,21.7007028577252,
