method,model_variant,model_path,batch_size,input_tokens,output_tokens,multimodal,text_tokens,image_tokens,total_prefill_tokens,image_size,dtype,attn_implementation,input_mode,sampling,checkpoint_path,kernel_backend,nvfp4_block_size,nvfp4_backend,nvfp4_quant_backend,nvfp4_sf_layout,marlin_activation_dtype,replaced_linear_count,skipped_linear_count,compressed_module_count,packed_checkpoint_file_size_bytes,prefill_ms,decode_total_ms,first_decode_ms,decode_per_token_ms,tokens_per_sec,status
sparse_bf16,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,128,32,False,128,0,128,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_4b/sparse_bf16/model.pt,cutlass_sparse_bf16_cusparselt,,,,,,248,0,248,6560651331,129.3298667907715,1182.4754526138306,38.502396774291995,38.144369439155824,26.216189039252633,
sparse_bf16,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,128,128,False,128,0,128,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_4b/sparse_bf16/model.pt,cutlass_sparse_bf16_cusparselt,,,,,,248,0,248,6560651331,127.94695625305175,4820.1526165008545,38.046217346191405,37.95395761024295,26.34771346559447,
sparse_bf16,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,512,32,False,512,0,512,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_4b/sparse_bf16/model.pt,cutlass_sparse_bf16_cusparselt,,,,,,248,0,248,6560651331,154.88446502685548,1171.6336187362672,37.80474281311035,37.794632862460226,26.458783278544736,
sparse_bf16,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,512,128,False,512,0,512,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_4b/sparse_bf16/model.pt,cutlass_sparse_bf16_cusparselt,,,,,,248,0,248,6560651331,155.09686126708985,4815.663366699218,37.89577789306641,37.91860918660802,26.372275287807152,
sparse_bf16,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,1024,32,False,1024,0,1024,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_4b/sparse_bf16/model.pt,cutlass_sparse_bf16_cusparselt,,,,,,248,0,248,6560651331,191.19955520629884,1174.419514274597,37.948627662658694,37.884500460470875,26.39601915942937,
sparse_bf16,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,1024,128,False,1024,0,1024,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_4b/sparse_bf16/model.pt,cutlass_sparse_bf16_cusparselt,,,,,,248,0,248,6560651331,191.10050582885742,4807.201863861084,37.92457275390625,37.85198318000854,26.418695032289573,
sparse_bf16,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,2048,32,False,2048,0,2048,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_4b/sparse_bf16/model.pt,cutlass_sparse_bf16_cusparselt,,,,,,248,0,248,6560651331,262.6453552246094,1177.6048070907593,37.97379379272461,37.987251841637395,26.324620800915937,
sparse_bf16,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,2048,128,False,2048,0,2048,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_4b/sparse_bf16/model.pt,cutlass_sparse_bf16_cusparselt,,,,,,248,0,248,6560651331,262.55244598388674,4827.109843254089,37.964487648010255,38.008738923260545,26.309738979211993,
sparse_bf16,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,8192,32,False,8192,0,8192,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_4b/sparse_bf16/model.pt,cutlass_sparse_bf16_cusparselt,,,,,,248,0,248,6560651331,804.145849609375,1178.0657657623292,38.02720317840576,38.00212147620417,26.314320389354346,
sparse_bf16,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,8192,128,False,8192,0,8192,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_4b/sparse_bf16/model.pt,cutlass_sparse_bf16_cusparselt,,,,,,248,0,248,6560651331,803.8567199707031,4825.95208492279,37.99197940826416,37.99962271592749,26.31605075333686,
