method,model_variant,model_path,batch_size,input_tokens,output_tokens,multimodal,text_tokens,image_tokens,total_prefill_tokens,image_size,dtype,attn_implementation,input_mode,sampling,checkpoint_path,kernel_backend,nvfp4_block_size,nvfp4_backend,nvfp4_quant_backend,nvfp4_sf_layout,marlin_activation_dtype,replaced_linear_count,skipped_linear_count,compressed_module_count,packed_checkpoint_file_size_bytes,prefill_ms,decode_total_ms,first_decode_ms,decode_per_token_ms,tokens_per_sec,status
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,128,32,False,128,0,128,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,126.99363441467285,892.8603019714355,29.167136001586915,28.801945224885017,34.71987715385262,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,128,128,False,128,0,128,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,121.51293106079102,3538.2979048728944,27.927576065063477,27.860613424196018,35.892964191934595,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,512,32,False,512,0,512,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,150.67586288452148,866.6127724647522,28.100270366668703,27.955250724669426,35.77145523926705,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,512,128,False,512,0,512,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,150.46507110595704,3536.412954998016,27.956046390533448,27.84577129919698,35.9120955657938,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,1024,32,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,188.54065322875977,865.1166204452514,27.973147296905516,27.906987756298435,35.83331919348071,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,1024,128,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,188.5775459289551,3535.7680826187134,27.927071857452393,27.840693563926877,35.9186454067257,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,2048,32,False,2048,0,2048,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,294.0148391723633,867.0663796424866,27.95313949584961,27.96988321427376,35.75274134465009,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,2048,128,False,2048,0,2048,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,294.05137634277344,3543.7692276000976,27.954326343536376,27.90369470551258,35.83754805783632,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,8192,32,False,8192,0,8192,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,1218.9825378417968,867.0321587562561,28.0976975440979,27.96877931471794,35.754152469349016,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,8192,128,False,8192,0,8192,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,1218.8949951171876,3546.432685089111,28.057649421691895,27.924666811725285,35.81063318471217,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,2,128,32,False,128,0,128,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,122.83059997558594,894.0206331253052,28.886374473571777,28.839375262106618,69.349629866216,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,2,128,128,False,128,0,128,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,122.84969787597656,3645.0752107620237,28.773968029022218,28.7013796122994,69.68306147704969,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,2,512,32,False,512,0,512,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,157.09892578125,893.1533123970032,28.860132789611818,28.811397174096875,69.41697370366046,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,2,512,128,False,512,0,512,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,157.14056854248048,3664.6936206817627,28.93320474624634,28.85585528095876,69.3100232353795,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,2,1024,32,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,268.66032257080076,889.4647707939148,28.76165590286255,28.692411961094027,69.70484052410563,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,2,1024,128,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,268.7182083129883,3654.6743359565735,28.874548721313477,28.77696327524861,69.50003656988444,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,2,2048,32,False,2048,0,2048,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,519.9345855712891,892.7430968284607,28.815068817138673,28.79816441382131,69.44887081206208,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,2,2048,128,False,2048,0,2048,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,519.8786895751953,3653.1172799110414,28.831865310668945,28.764702991425523,69.52965933964903,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,2,8192,32,False,8192,0,8192,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,2174.7150268554688,893.3467784881592,28.97007026672363,28.81763801574707,69.4019405374973,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,2,8192,128,False,8192,0,8192,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,2174.8342041015626,3658.576157093048,29.14558401107788,28.807686276323214,69.42591573707128,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,128,32,False,128,0,128,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,125.08327941894531,882.4939401626586,28.56986722946167,28.467546456859957,140.51087985617747,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,128,128,False,128,0,128,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,125.40632629394531,3611.7837042808533,28.576788902282715,28.43924176599097,140.65072595512706,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,512,32,False,512,0,512,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,257.12445678710935,888.9985172271729,28.76883993148804,28.67737152345719,139.4827973242989,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,512,128,False,512,0,512,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,257.1142913818359,3631.8966533660887,28.7305326461792,28.59761144382747,139.8718213881937,
dense,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,4,1024,32,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,498.7842163085937,886.3347669601441,28.72751693725586,28.591444095488516,139.90199259054444,
