method,model_variant,model_path,batch_size,input_tokens,output_tokens,multimodal,text_tokens,image_tokens,total_prefill_tokens,image_size,dtype,attn_implementation,input_mode,sampling,checkpoint_path,kernel_backend,nvfp4_block_size,nvfp4_backend,nvfp4_quant_backend,nvfp4_sf_layout,marlin_activation_dtype,replaced_linear_count,skipped_linear_count,compressed_module_count,packed_checkpoint_file_size_bytes,prefill_ms,decode_total_ms,first_decode_ms,decode_per_token_ms,tokens_per_sec,status
marlin_nvfp4,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,128,32,False,128,0,128,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_9b/marlin_nvfp4/model.pt,marlin_nvfp4_sm120,16,marlin_sm120,marlin_sm120,marlin_sm120,bfloat16,200,48,200,7971575775,148.16181144714355,1167.4060136795044,38.17410945892334,37.658258505790464,26.554600230550665,
marlin_nvfp4,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,128,128,False,128,0,128,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_9b/marlin_nvfp4/model.pt,marlin_nvfp4_sm120,16,marlin_sm120,marlin_sm120,marlin_sm120,bfloat16,200,48,200,7971575775,127.40879135131836,4214.952182579041,33.2452672958374,33.18859986282709,30.13082817995135,
marlin_nvfp4,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,512,32,False,512,0,512,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_9b/marlin_nvfp4/model.pt,marlin_nvfp4_sm120,16,marlin_sm120,marlin_sm120,marlin_sm120,bfloat16,200,48,200,7971575775,156.09064178466798,1024.7371767044067,33.169281578063966,33.056037958206666,30.251659356887167,
marlin_nvfp4,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,512,128,False,512,0,512,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_9b/marlin_nvfp4/model.pt,marlin_nvfp4_sm120,16,marlin_sm120,marlin_sm120,marlin_sm120,bfloat16,200,48,200,7971575775,156.66639251708983,4177.268556976318,33.276893043518065,32.89187840138833,30.402641886143876,
marlin_nvfp4,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,1024,32,False,1024,0,1024,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_9b/marlin_nvfp4/model.pt,marlin_nvfp4_sm120,16,marlin_sm120,marlin_sm120,marlin_sm120,bfloat16,200,48,200,7971575775,192.64655456542968,1015.3383388519287,32.87518100738525,32.752849640384795,30.53169452367234,
marlin_nvfp4,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,1024,128,False,1024,0,1024,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_9b/marlin_nvfp4/model.pt,marlin_nvfp4_sm120,16,marlin_sm120,marlin_sm120,marlin_sm120,bfloat16,200,48,200,7971575775,192.58668823242186,4163.964048194885,32.89244327545166,32.787118489723504,30.499783026478248,
marlin_nvfp4,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,2048,32,False,2048,0,2048,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_9b/marlin_nvfp4/model.pt,marlin_nvfp4_sm120,16,marlin_sm120,marlin_sm120,marlin_sm120,bfloat16,200,48,200,7971575775,276.0465026855469,1020.2995609283447,33.108177757263185,32.91288906220467,30.38323369638019,
marlin_nvfp4,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,2048,128,False,2048,0,2048,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_9b/marlin_nvfp4/model.pt,marlin_nvfp4_sm120,16,marlin_sm120,marlin_sm120,marlin_sm120,bfloat16,200,48,200,7971575775,276.00825958251954,4174.641735267639,33.09253749847412,32.87119476588692,30.4217722270862,
marlin_nvfp4,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,8192,32,False,8192,0,8192,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_9b/marlin_nvfp4/model.pt,marlin_nvfp4_sm120,16,marlin_sm120,marlin_sm120,marlin_sm120,bfloat16,200,48,200,7971575775,1199.4494934082031,1021.1971824645996,33.01511363983154,32.94184459563225,30.356527154905887,
marlin_nvfp4,9B,/home/agent/wja/data/models/Qwen/Qwen3.5-9B,1,8192,128,False,8192,0,8192,,bf16,sdpa,random,False,artifacts/checkpoints/qwen3_5_9b/marlin_nvfp4/model.pt,marlin_nvfp4_sm120,16,marlin_sm120,marlin_sm120,marlin_sm120,bfloat16,200,48,200,7971575775,1199.6049194335938,4186.719215202332,33.07955532073974,32.96629303308922,30.33401417005761,
